"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
0	0,4690296	0,3927603	0,2395899	0,4469593	0,4048191	0,8777841	0,1805231	0,6346205	0,9622519	0,9347374	0,5343416	1,0712773	0,1873121	0,6978871	0,6686078	0,7924316	0,8774318	0,7473082	0,5453415	0,1676175	0,3543148	0,1699757	0,9326389	0,1333664	0,9224942	0,8300593	0,6561597	0,9252106	0,0783876	0,0340529	0,2819808	0,5102713
20	0,4748709	0,3911508	0,2062759	0,4237163	0,3448173	0,8458512	0,2014844	0,6209332	0,9040699	0,8117169	0,4526813	1,0289148	0,1877777	0,6393395	0,7230572	0,8863389	0,7952909	0,7692427	0,5874498	0,1519927	0,3113195	0,1441154	0,8732779	0,1193993	1,0071191	0,8443368	0,6721701	0,8871572	0,0962984	0,0343287	0,2204200	0,3874738
40	0,4521008	0,3922693	0,2242422	0,4285332	0,3692124	0,8888993	0,1885624	0,5448321	0,9513402	0,6891275	0,5016332	0,9923128	0,1941390	0,5986470	0,7239235	0,8704499	0,7478683	0,8225075	0,6471338	0,1455988	0,3077797	0,1617830	0,8715869	0,2068694	0,8859371	0,8154996	0,7468783	0,9117348	0,1111321	0,0288638	0,2336561	0,3189743
60	0,4539008	0,3814982	0,2492791	0,4307230	0,3655530	0,8525997	0,1683359	0,4814801	0,8892146	0,5831910	0,5179252	0,9700717	0,2344056	0,5679921	0,7111522	0,9331611	0,7572836	0,9091476	0,6994411	0,1529080	0,3448170	0,2755294	0,8151964	0,2963298	0,8060963	0,8629652	0,7072913	0,8456824	0,1123988	0,0241317	0,2585880	0,2650433
80	0,4895032	0,3608020	0,2301273	0,4530943	0,3814037	0,9317313	0,1790151	0,4264756	0,8539969	0,4925413	0,4796471	0,9936968	0,2693613	0,5771135	0,7345270	0,8454984	0,7562473	0,8995057	0,7415213	0,1535711	0,3404865	0,3697615	0,8209277	0,4102096	0,8191561	0,8780787	0,6980601	0,8607372	0,0922560	0,0148133	0,2749734	0,2236830
100	0,4937604	0,3279663	0,1828605	0,4094923	0,3858633	0,8541436	0,1766822	0,3450292	0,7864029	0,4262599	0,5321622	0,9735779	0,2915324	0,5708476	0,7472897	0,8215677	0,6975231	0,9292855	0,7376277	0,1247048	0,3466117	0,3921848	0,8474071	0,4139586	0,7795522	0,8568950	0,6908716	0,9037706	0,0838016	0,0104400	0,2518395	0,1740097
120	0,4400066	0,3342322	0,1876456	0,4083862	0,3993708	0,8520488	0,1959787	0,2995077	0,8789683	0,3353003	0,5282277	0,9934342	0,3250930	0,5021713	0,8253429	0,8114027	0,7381003	0,9183786	0,7261654	0,1484123	0,3373801	0,4810773	0,8621648	0,4935154	0,7511076	0,8725823	0,6921273	0,9155036	0,0770762	0,0175764	0,2546200	0,1299792
140	0,4130607	0,3033001	0,2279123	0,4092039	0,3496025	0,8015111	0,2096134	0,2438357	0,9171517	0,2977267	0,5675691	0,9826898	0,3427550	0,4417364	0,8529394	0,7962590	0,6904451	0,9278311	0,7423665	0,1693352	0,3456342	0,5178435	0,8294068	0,5069285	0,7113806	0,8848595	0,6515793	0,9426663	0,1134420	0,0127409	0,2708401	0,0991667
160	0,4168338	0,3023388	0,2476469	0,4307751	0,3131078	0,7908475	0,2064526	0,2473632	0,8703326	0,2706566	0,5754348	1,0067031	0,3654398	0,5373911	0,8837464	0,7854229	0,7517860	0,9168559	0,7542755	0,1675273	0,3210850	0,5608947	0,8678093	0,4881472	0,7362814	0,8456054	0,6606259	0,9745908	0,1011848	0,0119460	0,2847525	0,0874346
180	0,4214698	0,3014133	0,2754158	0,3922589	0,3500601	0,7697689	0,2179550	0,2811910	0,9030481	0,2465390	0,6200553	1,0025760	0,3973090	0,5551858	0,9055691	0,6894138	0,7365264	0,9557533	0,7081251	0,1986847	0,2893525	0,5517522	0,8415226	0,5630633	0,6866210	0,8391951	0,6433164	0,9672838	0,1331331	0,0024586	0,3151036	0,0926129
