"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
460	0,0920353	0,0436353	0,6522416	1,0000000	1,0000000	0,0070929	0,9645545	0,0471991	0,3429592	1,0000000	0,8368418	0,9770367	0,8737512	0,8181624	0,7717078	0,0293282	0,0873851	0,9677371	0,0781026	0,0158817	0,8281287	0,9447585	0,5090252	0,8098141	0,1419158	0,9678167	0,6032710	0,9977561	0,0321573	0,5392926	0,1145759	0,0041872
480	0,0920362	0,0436353	0,6522510	1,0000000	1,0000000	0,0070922	0,9645493	0,0471991	0,3429595	1,0000000	0,8368966	0,9770400	0,8737559	0,8181676	0,7717078	0,0293282	0,0873839	0,9677870	0,0781026	0,0158817	0,8281579	0,9448758	0,5090225	0,8098938	0,1419158	0,9678188	0,6032474	0,9977562	0,0321581	0,5392817	0,1145759	0,0041872
500	0,0920369	0,0436353	0,6522575	1,0000000	1,0000000	0,0070917	0,9645458	0,0471991	0,3429597	1,0000000	0,8369358	0,9770424	0,8737594	0,8181708	0,7717078	0,0293283	0,0873831	0,9678197	0,0781027	0,0158817	0,8281794	0,9449567	0,5090206	0,8099463	0,1419158	0,9678202	0,6032305	0,9977564	0,0321588	0,5392740	0,1145759	0,0041872
520	0,0920375	0,0436353	0,6522620	1,0000000	1,0000000	0,0070915	0,9645434	0,0471991	0,3429598	1,0000000	0,8369637	0,9770441	0,8737619	0,8181728	0,7717078	0,0293283	0,0873825	0,9678412	0,0781027	0,0158817	0,8281952	0,9450126	0,5090192	0,8099808	0,1419158	0,9678213	0,6032185	0,9977565	0,0321594	0,5392685	0,1145759	0,0041872
540	0,0920380	0,0436353	0,6522651	1,0000000	1,0000000	0,0070913	0,9645417	0,0471991	0,3429599	1,0000000	0,8369836	0,9770453	0,8737638	0,8181740	0,7717078	0,0293283	0,0873822	0,9678554	0,0781027	0,0158817	0,8282067	0,9450510	0,5090183	0,8100034	0,1419158	0,9678221	0,6032100	0,9977565	0,0321600	0,5392647	0,1145759	0,0041872
560	0,0920384	0,0436353	0,6522673	1,0000000	1,0000000	0,0070913	0,9645406	0,0471991	0,3429600	1,0000000	0,8369977	0,9770462	0,8737651	0,8181747	0,7717078	0,0293283	0,0873819	0,9678647	0,0781027	0,0158817	0,8282150	0,9450774	0,5090176	0,8100182	0,1419158	0,9678227	0,6032041	0,9977566	0,0321604	0,5392621	0,1145759	0,0041872
580	0,0920388	0,0436353	0,6522390	1,0000000	1,0000000	0,0252712	0,9672785	0,0471991	0,3429599	1,0000000	0,8221628	0,9770453	0,8737640	0,7901684	0,7717078	0,0293284	0,0874043	0,9239646	0,0781027	0,0158817	0,8282209	0,9171748	0,5090197	0,7476716	0,1419158	0,9678231	0,5713782	0,9977566	0,0321608	0,5392744	0,1145759	0,0041872
600	0,0920391	0,0436353	0,6519672	1,0000000	1,0000000	0,0566892	0,9727459	0,0471991	0,3429586	1,0000000	0,7922429	0,9770292	0,8737435	0,7403514	0,7717078	0,0293284	0,0875808	0,8367783	0,0781027	0,0158817	0,8282196	0,8585777	0,5090445	0,6231745	0,1419158	0,9678230	0,5140161	0,9977567	0,0321611	0,5394113	0,1145759	0,0041872
620	0,0920394	0,0436353	0,6512850	1,0000000	1,0000000	0,0851343	0,9785624	0,0471991	0,3429548	1,0000000	0,7600620	0,9769829	0,8736840	0,6935717	0,7717078	0,0293284	0,0879590	0,7447222	0,0781027	0,0158817	0,8281882	0,7928149	0,5091123	0,4909301	0,1419158	0,9678206	0,4600088	0,9977567	0,0321614	0,5397823	0,1145761	0,0041872
640	0,0920396	0,0436353	0,6502414	1,0000000	1,0000000	0,1066231	0,9837382	0,0471991	0,3429482	1,0000000	0,7310828	0,9769026	0,8735804	0,6567341	0,7717078	0,0293284	0,0884625	0,6635644	0,0781027	0,0158817	0,8280896	0,7311890	0,5092246	0,3736328	0,1419158	0,9678134	0,4179817	0,9977566	0,0321616	0,5403943	0,1145762	0,0041872
660	0,0920398	0,0436353	0,6489952	1,0000000	1,0000000	0,1215138	0,9879669	0,0471991	0,3429395	1,0000000	0,7070803	0,9767941	0,8734402	0,6300031	0,7717078	0,0293284	0,0889946	0,5979821	0,0781027	0,0158817	0,8278934	0,6782802	0,5093694	0,2782711	0,1419158	0,9677990	0,3883433	0,9977563	0,0321618	0,5411803	0,1145764	0,0041872
680	0,0920400	0,0436353	0,6477102	1,0000000	1,0000000	0,1313253	0,9912540	0,0471991	0,3429295	1,0000000	0,6881158	0,9766680	0,8732770	0,6114792	0,7717078	0,0293284	0,0894877	0,5476451	0,0781027	0,0158817	0,8275903	0,6351581	0,5095301	0,2046342	0,1419158	0,9677767	0,3687668	0,9977559	0,0321620	0,5420493	0,1145766	0,0041872
