"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
760	0,4106783	0,9999992	0,4995658	0,1483918	0,9813193	0,6210314	0,6400573	0,3761460	0,3955130	0,6991827	0,9837202	0,6382545	0,9251746	0,7962522	0,7703831	0,6739590	0,0587441	0,9200313	0,8089865	0,8048777	0,1094387	0,1662424	0,0751973	0,8321308	0,6652159	0,2539622	0,8086361	0,7490153	0,9478544	0,4331986	0,5230865	0,6087713
780	0,3975675	0,9999998	0,4998741	0,1492507	0,9814747	0,6210314	0,6400573	0,3759031	0,3955130	0,6996845	0,9838933	0,6396951	0,9259373	0,7959842	0,7716421	0,6742325	0,0587441	0,9206104	0,8101843	0,8059082	0,1100623	0,1651470	0,0755965	0,8324153	0,6660993	0,2504641	0,8091264	0,7490993	0,9478469	0,4349268	0,5230882	0,6096703
800	0,3860207	0,9999999	0,5000600	0,1499991	0,9815784	0,6210314	0,6400573	0,3757479	0,3955130	0,7000940	0,9840179	0,6407016	0,9264760	0,7959001	0,7725339	0,6745995	0,0587442	0,9210150	0,8110650	0,8067234	0,1104255	0,1644070	0,0764322	0,8326069	0,6667101	0,2470766	0,8093837	0,7491473	0,9478335	0,4362846	0,5230893	0,6102543
820	0,3758216	1,0000000	0,5001569	0,1506525	0,9816472	0,6210314	0,6400573	0,3756494	0,3955130	0,7004330	0,9841066	0,6413924	0,9268510	0,7959156	0,7731671	0,6749875	0,0587444	0,9212979	0,8117172	0,8073708	0,1106227	0,1639067	0,0775259	0,8327356	0,6671060	0,2438238	0,8095187	0,7491751	0,9478205	0,4373504	0,5230900	0,6106332
840	0,3667918	1,0000000	0,5002008	0,1512236	0,9816924	0,6210314	0,6400573	0,3755875	0,3955130	0,7007160	0,9841690	0,6418597	0,9271089	0,7959808	0,7736194	0,6753585	0,0587445	0,9214965	0,8122043	0,8078877	0,1107232	0,1635685	0,0787609	0,8328220	0,6673525	0,2407231	0,8095896	0,7491917	0,9478101	0,4381884	0,5230904	0,6108789
860	0,3587821	1,0000000	0,5002172	0,1517230	0,9817220	0,6210314	0,6400573	0,3755492	0,3955130	0,7009534	0,9842125	0,6421721	0,9272845	0,7960669	0,7739454	0,6756953	0,0587445	0,9216369	0,8125714	0,8083029	0,1107716	0,1633397	0,0800608	0,8328802	0,6675026	0,2377861	0,8096267	0,7492019	0,9478026	0,4388500	0,5230906	0,6110380
880	0,3516659	1,0000000	0,5002212	0,1521598	0,9817410	0,6210314	0,6400573	0,3755260	0,3955130	0,7011531	0,9842427	0,6423785	0,9274030	0,7961578	0,7741829	0,6759917	0,0587446	0,9217371	0,8128509	0,8086384	0,1107937	0,1631850	0,0813758	0,8329193	0,6675933	0,2350196	0,8096462	0,7492086	0,9477976	0,4393754	0,5230908	0,6111412
900	0,3453347	1,0000000	0,5002208	0,1525420	0,9817532	0,6210314	0,6400573	0,3755124	0,3955130	0,7013213	0,9842635	0,6425135	0,9274823	0,7962451	0,7743580	0,6762478	0,0587447	0,9218094	0,8130659	0,8089111	0,1108033	0,1630804	0,0826734	0,8329458	0,6676483	0,2324262	0,8096564	0,7492132	0,9477946	0,4397953	0,5230909	0,6112080
920	0,3396953	1,0000000	0,5002193	0,1528763	0,9817609	0,6210314	0,6400573	0,3755049	0,3955130	0,7014632	0,9842777	0,6426008	0,9275349	0,7963247	0,7744890	0,6764665	0,0587447	0,9218622	0,8132330	0,8091341	0,1108073	0,1630098	0,0839323	0,8329637	0,6676821	0,2300055	0,8096618	0,7492164	0,9477929	0,4401331	0,5230909	0,6112513
940	0,3346668	1,0000000	0,5002180	0,1531688	0,9817657	0,6210314	0,6400573	0,3755012	0,3955130	0,7015829	0,9842874	0,6426565	0,9275695	0,7963952	0,7745884	0,6766519	0,0587448	0,9219014	0,8133643	0,8093174	0,1108090	0,1629621	0,0851394	0,8329759	0,6677032	0,2277543	0,8096646	0,7492188	0,9477921	0,4404068	0,5230910	0,6112793
