"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
460	0,6537530	0,7623469	0,6761305	0,1667978	0,8257605	0,6203765	0,6474004	0,3978885	0,4233284	0,7352776	1,0086525	0,5066986	0,9123783	1,0030686	0,6553878	0,7504851	0,0442530	0,8324436	0,6731366	0,8427105	0,1623071	0,2505639	0,2115730	0,8230040	0,6668501	0,3105074	0,1520475	0,6751437	0,9063810	0,4175816	0,5846835	0,5540658
480	0,6611166	0,6226441	0,6515866	0,1320477	0,8444303	0,6101651	0,7083410	0,3801104	0,3801603	0,7559889	0,9900977	0,5504917	0,9408223	0,9953569	0,7689818	0,7807619	0,0577051	0,8168342	0,7194295	0,8213084	0,1713278	0,2548266	0,2003317	0,8123503	0,7149010	0,2948596	0,1795531	0,7004131	0,8649624	0,4259905	0,6115697	0,5812830
500	0,7079353	0,7666318	0,6661621	0,1261070	0,8436687	0,6377438	0,6964453	0,4058656	0,4004848	0,7952022	1,0261949	0,5809184	0,9189898	1,0423287	0,7428523	0,7833128	0,0460355	0,7868231	0,7461245	0,7929116	0,1758149	0,2807517	0,2197304	0,7841420	0,6996934	0,2744745	0,1679578	0,6506210	0,9190839	0,4224539	0,6468244	0,5526147
520	0,6850491	0,7210516	0,6530439	0,1338472	0,8877903	0,5870527	0,7070395	0,3856626	0,4131676	0,7584343	1,0202275	0,6006945	0,9541820	1,0323328	0,7729132	0,8331662	0,0462103	0,8816323	0,7748689	0,7845805	0,1477551	0,2786426	0,2226127	0,7922609	0,7619866	0,2838427	0,1410441	0,6509304	0,8886186	0,4770653	0,6109679	0,5530806
540	0,6759537	0,6656438	0,7336377	0,1369622	0,8556090	0,5960368	0,6590766	0,4054041	0,3965732	0,7199830	1,0123017	0,6086014	0,8798236	1,0144909	0,8124691	0,7795815	0,0440462	0,8716934	0,7747382	0,7941780	0,1506259	0,2846169	0,1805983	0,7972811	0,7672727	0,2850636	0,1403924	0,7408461	0,8471755	0,4693120	0,5639677	0,5082198
560	0,7417313	0,6493764	0,6492939	0,1366972	0,8456751	0,5799350	0,6603215	0,3958824	0,3599910	0,7639271	1,0101707	0,6083855	0,8146059	0,9697296	0,8017577	0,8221851	0,0462881	0,9078911	0,7887999	0,8783574	0,1577130	0,2517236	0,1632805	0,8225726	0,7472488	0,2791394	0,1440569	0,7081550	0,8773156	0,4622924	0,5469703	0,5072913
580	0,7057049	0,8395782	0,6600477	0,1338226	0,9836021	0,5866275	0,6354327	0,4242858	0,4183590	0,7363842	0,9690538	0,5870942	0,8809461	0,9117197	0,7878709	0,8051470	0,0414730	0,8897413	0,7972878	0,8406033	0,1125442	0,2757086	0,1704550	0,8384810	0,7893907	0,2686732	0,4463566	0,7537105	0,9079067	0,4748691	0,5070980	0,5107622
600	0,6239692	0,9899534	0,6159117	0,1335870	0,9707138	0,5843855	0,6273692	0,3527598	0,4200617	0,7127169	0,9400874	0,5514688	0,9092915	0,8665043	0,8162103	0,7761023	0,0301624	0,9010395	0,8180252	0,8984659	0,1498407	0,2219031	0,1335940	0,7885913	0,7909106	0,2826273	0,6085742	0,7430888	0,9194359	0,5056257	0,5193101	0,5413409
620	0,5459538	0,9915165	0,5313621	0,1150339	0,9570850	0,6392977	0,5991603	0,4134165	0,4243671	0,7013383	0,9860700	0,5895486	0,9157045	0,8854138	0,7692123	0,7509771	0,0574295	0,8739016	0,8350127	0,9087740	0,1086360	0,2410043	0,1109444	0,7428392	0,7708821	0,2415545	0,7196357	0,7244586	0,9750066	0,4583374	0,5409550	0,5185364
640	0,5267048	0,9599385	0,5446196	0,1259838	1,0045377	0,6160734	0,6033478	0,4316063	0,4065949	0,7905866	0,9590808	0,6919993	0,9055810	0,8622461	0,7948738	0,7328824	0,0454822	0,8052384	0,8234572	0,9129362	0,1024551	0,1906422	0,1258595	0,7661178	0,6901576	0,2210611	0,7685523	0,7589816	0,9999946	0,5005376	0,5342686	0,6051831
660	0,5115916	0,9753758	0,5233119	0,1360323	0,9883208	0,6089106	0,6028208	0,4363908	0,4274696	0,7544053	1,0248042	0,6632702	0,9115664	0,8241948	0,7742719	0,7420572	0,0730912	0,9333844	0,7832434	0,8533948	0,1242033	0,1656199	0,1034348	0,7786842	0,6945991	0,2250081	0,7905628	0,7012504	0,9281064	0,4950047	0,5477933	0,6465072
680	0,4907048	1,0242393	0,5404377	0,1528983	1,0423943	0,6400433	0,6226504	0,4290447	0,4144941	0,7519128	0,9915212	0,6399924	0,8711330	0,8406164	0,7666142	0,7643481	0,0402430	0,8460348	0,7587714	0,8472342	0,1119027	0,1891663	0,1005453	0,8275316	0,7097422	0,2401055	0,7694977	0,6884885	0,9611790	0,5128530	0,5556662	0,6343214
700	0,4695185	1,0452918	0,5423864	0,1798710	0,9968430	0,6469472	0,6398070	0,3679224	0,3855401	0,6732594	0,9670084	0,5973137	0,9276039	0,8191397	0,8585044	0,7668722	0,0529926	0,8884659	0,7667633	0,8545646	0,0973309	0,1919305	0,0922186	0,8771217	0,6640416	0,2343359	0,7950769	0,7120708	0,9607191	0,5401023	0,5476213	0,5991688
720	0,4686643	1,0219334	0,5163500	0,1849460	1,0863693	0,6150812	0,6606026	0,3580538	0,4058134	0,7269893	0,9742535	0,5672424	1,0029414	0,8599870	0,7951775	0,8044567	0,0542942	0,8699653	0,7530603	0,8651878	0,1343152	0,1914386	0,0800840	0,8821581	0,6615981	0,2428155	0,8030836	0,8214200	0,9857790	0,5147572	0,4960644	0,6010959
740	0,4323293	1,0795401	0,4629895	0,2029013	0,9405883	0,6416770	0,5726462	0,3732135	0,4070076	0,7035468	1,0523256	0,5937351	1,0400374	0,8409884	0,8680259	0,8096079	0,0393675	0,9560913	0,8558215	0,8135944	0,1120947	0,1674547	0,0658781	0,8757209	0,6325237	0,2673217	0,8280504	0,8080740	1,0393350	0,5058623	0,4972937	0,5861885
760	0,3995623	0,9548045	0,4907439	0,2028694	0,9428465	0,5909710	0,5635211	0,3676043	0,4172474	0,6917759	1,0000931	0,6508165	0,9079184	0,8306025	0,8444511	0,7816172	0,0542072	0,9317376	0,8381477	0,8092911	0,1040564	0,1478242	0,0696974	0,8123302	0,6128547	0,2596439	0,8929133	0,8128927	0,9637611	0,5215888	0,5093007	0,6100117
780	0,4155420	0,9769020	0,4767264	0,2003557	0,9205050	0,5995763	0,5668150	0,4196267	0,3631619	0,7613345	1,0338251	0,6359767	0,9361951	0,8255554	0,7620819	0,7749185	0,0674312	0,8703653	0,8409801	0,7817530	0,0941967	0,1474754	0,0731103	0,8174161	0,5972132	0,2578115	0,8529898	0,7775781	0,8627340	0,4794950	0,5521708	0,6385821
800	0,3870942	0,9730172	0,4699132	0,2051900	0,9194330	0,5680094	0,6021372	0,3835951	0,3789826	0,7816631	0,9777141	0,6942641	0,9691061	0,8454064	0,7815715	0,7442682	0,0547408	0,8845655	0,8186052	0,7915850	0,1131748	0,1344436	0,0650293	0,8617646	0,6057153	0,2479301	0,8238059	0,8001613	0,8486351	0,4789570	0,5763098	0,6267531
820	0,3810999	0,9649878	0,4291974	0,2230258	0,9550646	0,5413793	0,5805829	0,3526790	0,3802445	0,7422678	0,9463885	0,6512707	0,9316918	0,8461020	0,8028299	0,7589845	0,0628401	0,9327766	0,8698990	0,8227760	0,1216381	0,1398818	0,0612686	0,8735660	0,6597405	0,2410483	0,7968883	0,8192772	0,9044000	0,5000680	0,5940216	0,6638206
840	0,3832063	1,0524258	0,4880570	0,1872248	0,9696468	0,5648819	0,6274648	0,3601410	0,3800654	0,6942958	0,9111376	0,6984342	0,9027101	0,8110134	0,8411328	0,6499790	0,0500467	0,9390198	0,8191093	0,7818778	0,1248614	0,1355776	0,0522694	0,9122469	0,7043839	0,2449564	0,7936974	0,7999412	0,9461476	0,5355650	0,6392794	0,5963295
860	0,3710649	0,9832392	0,4372355	0,1966246	1,0317310	0,5926170	0,6283859	0,3250273	0,4041004	0,6725055	0,9653968	0,7405699	0,8919713	0,7819679	0,7842295	0,6707164	0,0768456	0,9102276	0,7741926	0,8145771	0,1253582	0,1436196	0,0859288	0,9091092	0,7221194	0,2361310	0,8753881	0,7821677	0,9327616	0,4514619	0,5798416	0,5486586
