"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
660	0,3068560	0,1215935	0,3722518	0,4266942	0,5584774	0,9025593	0,6136779	0,5779011	0,4253196	0,5201178	0,6594962	0,5586835	0,4812486	0,6210589	0,6898195	0,3605051	0,2276099	0,2336253	0,4958689	0,2160827	0,3243980	0,3040314	0,0111253	0,1636508	0,4340642	0,2177061	0,5898887	0,2438200	0,1231291	0,6997975	0,6111503	0,6525561
680	0,4364565	0,1028621	0,3455972	0,5156417	0,4729669	0,6501204	0,5517958	0,5460172	0,3416915	0,4895754	0,8020524	0,5774979	0,4321788	0,7691419	0,5956830	0,3982789	0,3025169	0,1047461	0,6721740	0,2132510	0,2705267	0,3154674	0,0092881	0,2028714	0,5466462	0,2741865	0,4086418	0,2331435	0,1403585	0,6058821	0,5485555	0,7074576
700	0,3198665	0,0751715	0,4143193	0,3991518	0,5157438	0,6852059	0,5354147	0,6118433	0,3943525	0,6209020	0,7711210	0,6485852	0,4933630	0,8294586	0,6259432	0,3394867	0,3102147	0,1642210	0,6715072	0,2064020	0,2807251	0,3015680	0,0234899	0,0979328	0,4970149	0,3765467	0,4700538	0,2437454	0,1053109	0,7708635	0,6108532	0,6776714
720	0,3332946	0,1247021	0,2650611	0,4931360	0,4955945	0,6445417	0,6497426	0,5970000	0,3993370	0,6690087	0,7457896	0,5730101	0,4884364	0,8072311	0,5752092	0,3963653	0,2784907	0,0900493	0,7576341	0,1937914	0,2774901	0,2143222	0,0037190	0,1145864	0,3694582	0,3179343	0,6201952	0,2416199	0,1165932	0,7135058	0,5364870	0,6447812
740	0,2791089	0,0881821	0,3798798	0,4227736	0,5875728	0,6365065	0,5775832	0,7344081	0,3881543	0,6747429	0,9416180	0,5630066	0,5039423	0,6837898	0,5303779	0,3789909	0,3500091	0,0738993	0,8870427	0,1999617	0,2723286	0,3567837	0,0006158	0,0948085	0,3924935	0,2725438	0,6006706	0,2917872	0,2015243	0,7775354	0,5063904	0,6761655
760	0,3124083	0,1051979	0,3461623	0,4830102	0,6533587	0,6360324	0,6092919	0,4782658	0,4109087	0,6507802	1,0255751	0,7344856	0,4226900	0,8013682	0,5351232	0,4390366	0,2712867	0,0964480	0,6277263	0,2085104	0,2785333	0,3293351	0,0027967	0,0699988	0,3933304	0,3728869	0,5341509	0,4092245	0,1630358	0,5822594	0,5554906	0,7394057
780	0,3740455	0,1421195	0,3067450	0,3709366	0,5864428	0,5986664	0,5046175	0,7030291	0,2812021	0,6974618	0,9136751	0,6772002	0,5102944	0,7138125	0,6913270	0,4117710	0,3067708	0,0765450	0,5692411	0,2905744	0,4064874	0,4108583	0,0148646	0,1346275	0,3554439	0,3749764	0,5695482	0,3481334	0,2536956	0,7432814	0,5818274	0,7252277
800	0,3800142	0,2129282	0,3064829	0,3221078	0,5293964	0,6985040	0,6249506	0,4605605	0,2802539	0,6520043	0,8778755	0,6921953	0,4514476	0,9284637	0,6425326	0,4082703	0,2868308	0,0823378	0,5898053	0,2233314	0,3105353	0,3200971	0,0074589	0,1242153	0,4541163	0,3084857	0,5468413	0,2738464	0,1493156	0,7004527	0,5609458	0,8002706
820	0,4239206	0,2109921	0,3310475	0,4757656	0,6867767	0,8436466	0,5496880	0,6624959	0,2888005	0,5458461	0,7608945	0,7591232	0,4252395	0,8540699	0,6391153	0,3490894	0,3989060	0,0403289	0,6504750	0,2719792	0,4163733	0,4319574	0,0067627	0,1254923	0,4388586	0,2957785	0,5013917	0,3338007	0,2050895	0,6416184	0,4929682	0,7039117
840	0,3062895	0,1213051	0,3142831	0,4227184	0,6136383	0,7662508	0,6266764	0,6155781	0,2772313	0,5591174	0,7130930	0,7444549	0,4005547	0,7555361	0,6239013	0,4265693	0,2913556	0,0639454	0,5904293	0,2282264	0,3597646	0,3940509	0,0020977	0,1130443	0,3886087	0,4376715	0,5703277	0,2961375	0,2474106	0,6482030	0,6146909	0,6989144
