"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
460	0,0169031	0,5536840	0,0565674	0,0379866	0,2713578	0,5772468	1,1048339	0,5935708	0,2881460	0,4073705	0,3423216	0,7061986	0,1290858	0,5486992	0,5999528	0,5355261	0,2894773	0,3125810	0,9017627	0,0902348	1,0354648	0,0163932	0,0559778	0,9813933	1,0908964	0,0674534	0,9563260	0,8038491	1,0414684	0,8294593	1,1041700	0,4412761
480	0,0272680	0,5565926	0,0452255	0,0406755	0,3079116	0,5575356	1,0753839	0,5746236	0,2988613	0,4014829	0,3386682	0,7102243	0,1624183	0,5055743	0,6319320	0,5656810	0,3292032	0,3246835	0,9521554	0,0706029	1,0306526	0,0281839	0,0613646	0,9682916	0,9215790	0,0533238	0,9715325	0,8098703	1,0443318	0,7691374	1,0532734	0,4586677
500	0,0173182	0,5264763	0,0722527	0,0362460	0,3462100	0,5386611	1,0425206	0,5450042	0,2755536	0,3721784	0,3321938	0,6256878	0,1330540	0,5901647	0,5954036	0,6013383	0,3114076	0,3526500	1,0508321	0,0789551	0,9717151	0,0345352	0,0636888	0,9683191	0,9657728	0,0755185	0,9855999	0,8045835	1,0014733	0,7289255	0,9976964	0,4688043
520	0,0242086	0,4859882	0,0516959	0,0351392	0,3370843	0,5874169	0,9992871	0,5365865	0,2982862	0,3804239	0,3227905	0,6993944	0,1361331	0,6147422	0,6071728	0,6435764	0,2899918	0,3632017	1,0024258	0,0727898	0,9811753	0,0369337	0,0755196	1,0052418	0,9583277	0,0781925	0,9143944	0,8275944	1,0135262	0,6702219	0,9407198	0,4056930
540	0,0120597	0,5246175	0,0545270	0,0296946	0,3464056	0,5809129	0,9359522	0,5763798	0,2994422	0,3879199	0,3441588	0,7116394	0,1551155	0,6055656	0,6111382	0,6381925	0,2687697	0,3757790	1,0298965	0,0667159	1,0236505	0,0316328	0,0749223	0,9410728	0,9541727	0,0760941	0,9705704	0,8208101	1,0454636	0,7602815	0,9644807	0,3970781
560	0,0138120	0,5382542	0,0692338	0,0385424	0,3499176	0,4976946	0,9799652	0,5443884	0,2833390	0,3872468	0,3446770	0,7338739	0,1483702	0,6636978	0,5586035	0,6226670	0,2927328	0,3523890	1,0272907	0,0554522	0,9874995	0,0266583	0,0610964	0,9251395	0,9370019	0,0618444	1,0276694	0,8410669	1,0769093	0,7627934	0,9990710	0,3928770
580	0,0090839	0,6279012	0,0725257	0,0364678	0,3685472	0,5165698	0,9899845	0,5597146	0,3027801	0,3954157	0,3112803	0,7186510	0,1692930	0,6591685	0,5849229	0,6292053	0,3009358	0,3306207	1,0515300	0,0540758	0,9614751	0,0285470	0,0406628	0,8293418	0,9043155	0,0516978	1,0224444	0,8599093	1,0641358	0,6346275	1,0959753	0,3755756
600	0,0125451	0,5625473	0,0639557	0,0366937	0,3560563	0,5929101	1,0414649	0,5482429	0,3759579	0,4873158	0,3072362	0,7693390	0,1632631	0,5972635	0,5177461	0,6046454	0,3168719	0,3426867	1,0206076	0,0616959	0,9416903	0,0355162	0,0575575	0,7009527	0,8976601	0,0557571	1,0055651	0,8676605	1,1015290	0,4682218	1,0433902	0,3427130
620	0,0109521	0,6126924	0,0432829	0,0588179	0,3443699	0,6584506	1,0197423	0,5833422	0,4285240	0,4713620	0,3376498	0,8129703	0,1339824	0,6101733	0,5954768	0,5764014	0,3375894	0,3636879	0,9984147	0,0433025	0,9331014	0,0504607	0,0501125	0,5919922	0,9328998	0,0757924	1,0092834	0,7996800	1,0434942	0,2932103	0,9927099	0,3912424
640	0,0228731	0,5846866	0,0319104	0,0401255	0,2820362	0,5850930	1,0336082	0,5945873	0,3938704	0,5169305	0,3025661	0,7922038	0,1301575	0,6092322	0,6399807	0,5597447	0,3583577	0,3473536	1,0968583	0,0440110	0,9582872	0,0381976	0,0800257	0,5075918	0,9248011	0,0816853	0,9404391	0,8259898	1,1224710	0,1831415	0,9596065	0,3611615
660	0,0235205	0,5245351	0,0325287	0,0393676	0,2373518	0,5654767	0,9977617	0,5521573	0,3796682	0,5537051	0,2889396	0,7384302	0,1337830	0,5993016	0,6453529	0,5271482	0,3249944	0,3710640	1,0549428	0,0550637	0,9523576	0,0377499	0,0880481	0,4710006	0,9630186	0,0909405	0,9712515	0,8259987	1,0212265	0,1428806	1,0060867	0,3761522
680	0,0229021	0,5392239	0,0324799	0,0378034	0,2622399	0,5924967	1,0154457	0,5182933	0,4212293	0,5285041	0,3000241	0,7432289	0,1249343	0,6154511	0,6687352	0,5498789	0,2850736	0,3153520	1,1195721	0,0325152	0,9617390	0,0296667	0,0620572	0,4113544	0,9043675	0,0609811	0,9985185	0,7970018	1,0349062	0,0949731	1,0152864	0,3633455
700	0,0394655	0,6560199	0,0468212	0,0417052	0,2748480	0,5755903	1,0230004	0,5402377	0,4479195	0,5525387	0,2864835	0,7828446	0,1141301	0,5957600	0,6652508	0,5135336	0,2888775	0,3265666	1,0517585	0,0427627	0,9813084	0,0346435	0,0616471	0,3690091	0,8686533	0,0679695	1,0350662	0,7791070	1,0514583	0,0615464	0,9816071	0,3839149
720	0,0327680	0,7263808	0,0497978	0,0443320	0,2756350	0,5197390	1,0583893	0,5428732	0,4790851	0,4914709	0,3038090	0,7903025	0,0830853	0,5480788	0,6427928	0,5360496	0,2982467	0,3191226	0,9888201	0,0365499	1,0046657	0,0364420	0,0552747	0,3431293	0,7880970	0,0623069	0,9613150	0,7594595	1,0128244	0,0316973	0,9582079	0,3287187
740	0,0216005	0,7111237	0,0337789	0,0357806	0,3054180	0,5884891	0,9840615	0,5240885	0,4532558	0,5221163	0,3171506	0,7494183	0,0819999	0,5660868	0,6277805	0,5500623	0,3335664	0,3424180	0,9807721	0,0351112	0,9910108	0,0695343	0,0434672	0,3048415	0,7995565	0,0498269	0,9677263	0,6999726	1,0152730	0,0149209	1,0024352	0,3697810
760	0,0243931	0,7049550	0,0457732	0,0294923	0,3641210	0,6812864	0,9305547	0,5440832	0,4806661	0,5226974	0,3481120	0,7066743	0,0867434	0,5363078	0,5510503	0,5614208	0,2925651	0,2953360	0,9236611	0,0564122	0,9498657	0,0550707	0,0376568	0,2909880	0,8001494	0,0396845	0,9607217	0,6922508	0,9586244	0,0100063	0,9398865	0,3393709
780	0,0171157	0,6765075	0,0226903	0,0251214	0,3059950	0,6066078	0,9442593	0,5460227	0,4488596	0,5094781	0,3363258	0,6707811	0,0900376	0,5834447	0,5366050	0,5778953	0,3163583	0,2875886	0,9706080	0,0552442	0,8940499	0,0622419	0,0412961	0,3089592	0,8232067	0,0514838	0,9814366	0,7027854	0,9955976	0,0107002	1,0030656	0,3342443
800	0,0137971	0,6398790	0,0371000	0,0210771	0,2335667	0,6039394	0,9058576	0,5613348	0,4647848	0,5087845	0,3291095	0,7180197	0,1097115	0,6275456	0,5956023	0,5149615	0,3227603	0,2969173	0,9900278	0,0452272	0,9067841	0,0410590	0,0363307	0,3312314	0,7630961	0,0605208	0,9894745	0,7349426	0,9503297	0,0066086	1,0056014	0,3536237
820	0,0144393	0,5861912	0,0341077	0,0265484	0,2332101	0,5972351	0,8297020	0,5555199	0,4429708	0,5013585	0,3165766	0,7037347	0,1155870	0,5466317	0,5677310	0,5513620	0,3035966	0,3187828	0,9285143	0,0510413	0,9189646	0,0356532	0,0337926	0,3823655	0,7862978	0,0509862	1,0222427	0,7407240	0,9708378	0,0076969	0,9793385	0,3687722
840	0,0225948	0,5946634	0,0265905	0,0209013	0,2497709	0,5664041	0,8888212	0,5398800	0,4577495	0,5129262	0,2876267	0,6808458	0,1113646	0,5159300	0,5576910	0,5631029	0,3228337	0,3193699	0,9613145	0,0355170	0,8847305	0,0501697	0,0391154	0,3421262	0,8595544	0,0814288	1,0209278	0,6689494	1,0372400	0,0086597	0,9846271	0,4117787
860	0,0084774	0,5781573	0,0388039	0,0335004	0,3007676	0,5882446	0,9438063	0,5091273	0,4291121	0,5037391	0,3131192	0,7068703	0,1216963	0,5521074	0,5617474	0,4917705	0,3155592	0,2752091	0,9304003	0,0391262	0,8748238	0,0410832	0,0416602	0,3446907	0,8793087	0,0634041	1,0372957	0,7472367	1,0270987	0,0060801	1,0168336	0,3686767
880	0,0111880	0,6301595	0,0434807	0,0399188	0,2941811	0,6409916	1,0114449	0,4983444	0,4195652	0,4746013	0,2765602	0,7345572	0,1064122	0,5623619	0,5723110	0,5182510	0,3498735	0,2920948	0,9608718	0,0274061	0,8095611	0,0314663	0,0446358	0,3450695	0,8264696	0,0579850	1,0671116	0,7382806	1,0614555	0,0057004	0,9861756	0,3515874
900	0,0119180	0,5929629	0,0288079	0,0293600	0,2911203	0,6957113	1,0018843	0,5046443	0,4802192	0,5016796	0,2617838	0,7483923	0,1116814	0,5788430	0,6183755	0,5317843	0,3127438	0,2989476	0,8711271	0,0525045	0,8633151	0,0254276	0,0507494	0,3215697	0,8573719	0,0564576	1,0143773	0,6990093	1,0827053	0,0020077	0,9117562	0,3312846
920	0,0199960	0,5764175	0,0237361	0,0275120	0,3155392	0,6585800	1,0229263	0,5220743	0,4008776	0,4791841	0,2874519	0,7784923	0,1259510	0,5772171	0,6530272	0,5260590	0,2893972	0,3071572	0,8814060	0,0441767	0,8713346	0,0144772	0,0364278	0,3644496	0,8971293	0,0589502	0,9698985	0,6944604	1,0245543	0,0044727	0,9079965	0,3495490
940	0,0128017	0,5659616	0,0536612	0,0343114	0,3137751	0,5677394	1,0047733	0,5975959	0,3665696	0,4581290	0,3128514	0,7161939	0,1458255	0,5875358	0,5952049	0,4537917	0,3111329	0,3019285	0,8876421	0,0435836	0,8990633	0,0264406	0,0431426	0,3545496	0,8499511	0,0557332	1,0396112	0,7060561	0,9615842	0,0054939	0,9648241	0,3173548
960	0,0141538	0,6511740	0,0518896	0,0312956	0,2945203	0,6146307	0,9672732	0,5534355	0,3760600	0,4893159	0,2723092	0,7093286	0,1373222	0,6146458	0,5461050	0,4976004	0,2898502	0,3216191	0,8778773	0,0607979	0,9382712	0,0265822	0,0718950	0,3329336	0,8404974	0,0382807	0,9854170	0,7652896	0,9770552	0,0015870	0,9029845	0,3263839
980	0,0108844	0,6249020	0,0283346	0,0397195	0,2358784	0,6291356	0,9078512	0,5517786	0,4007516	0,5117344	0,2722500	0,7566768	0,1422884	0,6079550	0,5429649	0,5123874	0,3269308	0,3311976	0,9198771	0,0682846	0,9439047	0,0216828	0,0497404	0,3058002	0,9157782	0,0659697	1,0059275	0,7808194	0,9918837	0,0018090	0,9111482	0,3439673
1000	0,0059277	0,5887437	0,0277759	0,0422662	0,2337686	0,5322358	0,8920290	0,5595788	0,4672806	0,5876165	0,3091056	0,7513530	0,1668102	0,6098822	0,5392696	0,5053635	0,3561984	0,3291215	0,9015199	0,0554714	0,9225929	0,0442890	0,0538673	0,3322556	0,8676560	0,0705948	1,0439360	0,7908648	0,9716951	0,0015743	0,9810573	0,3795109
1020	0,0111195	0,5964410	0,0428002	0,0347062	0,2294847	0,5700799	0,9398382	0,5470266	0,4436291	0,5564401	0,3090498	0,8038703	0,1623700	0,6350386	0,5032680	0,5015419	0,3263432	0,3613745	0,9492536	0,0517440	0,9026422	0,0663673	0,0597511	0,3459554	0,9002774	0,0581784	1,0147291	0,7456257	0,9807796	0,0040296	1,0061893	0,3762748
1040	0,0180413	0,5971168	0,0407934	0,0414937	0,2158202	0,5982349	0,9363001	0,5590006	0,4723078	0,5390725	0,3197510	0,7283198	0,1788032	0,6553843	0,4687827	0,5323929	0,3713665	0,3809262	0,9734116	0,0438044	0,9361367	0,0476500	0,0681400	0,2916095	0,8349486	0,0534524	0,9351822	0,7475916	0,9357446	0,0044291	0,9298974	0,3443160
1060	0,0210660	0,6084863	0,0306998	0,0343183	0,2497956	0,6517495	0,9756571	0,5784759	0,4596689	0,5194021	0,3312789	0,7957126	0,1639059	0,6184152	0,4850445	0,5348776	0,3546821	0,3600890	0,9840450	0,0521064	0,9422300	0,0379380	0,0621838	0,3137189	0,7848047	0,0505498	0,9613230	0,8106088	0,8681424	0,0040241	0,9353186	0,3701766
1080	0,0119106	0,6264000	0,0631934	0,0299115	0,2530472	0,6425139	1,0467096	0,5518612	0,4420864	0,5285608	0,3867330	0,7716918	0,1523362	0,5714930	0,4718634	0,5067617	0,3349007	0,3345480	1,0129690	0,0360130	0,9467947	0,0359023	0,0675292	0,2955169	0,7979254	0,0397387	1,0389418	0,7900856	0,8742323	0,0009511	0,9173509	0,3732307
1100	0,0046608	0,6576120	0,0464719	0,0258783	0,3166045	0,6378108	1,0393045	0,5488045	0,4673712	0,5265263	0,3833080	0,7865817	0,1546473	0,6292854	0,5324093	0,5079526	0,3094011	0,3346551	1,0279325	0,0438329	0,9263076	0,0256557	0,0623016	0,3394716	0,7895078	0,0534799	0,9411809	0,8275250	0,8373313	0,0019820	0,9465000	0,3556710

0	0,0247766	0,6423327	0,0402187	0,0379021	0,2659385	0,5572829	1,0004324	0,5430051	0,3834243	0,5912915	0,3682520	0,6718002	0,1571580	0,5209873	0,5380317	0,5456575	0,2957234	0,2685828	0,9886187	0,0419976	1,0458589	0,0345069	0,0548431	0,3625581	0,8157755	0,0626261	1,0625894	0,8142378	0,9923517	0,0047982	0,9672637	0,3983265
