"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
500	0,6503994	0,9591407	0,8349179	0,9582984	0,9213828	0,2737694	0,9563588	0,7689912	0,8691457	0,9453404	0,0914117	0,9177834	0,3016576	0,7066963	1,0058108	1,0565567	0,3745069	0,9469415	0,9479171	0,3126728	0,3396821	0,4206726	0,5326745	0,8825700	0,8575249	1,0496379	0,5154879	1,0647630	0,8941879	0,8542776	1,0078029	0,5450143
520	0,6208716	0,9416160	0,8493741	0,9718377	1,0652321	0,2194113	0,9869291	0,7310392	0,9021778	1,0043481	0,0765053	0,9448725	0,2731603	0,7367249	1,0893161	1,0359367	0,3940342	0,8581344	0,8962975	0,2708503	0,3847155	0,3718905	0,5699060	1,0133526	0,8633411	1,0281427	0,4604048	0,9822823	0,9005577	0,8659812	1,0060793	0,5537598
540	0,6251793	0,9438171	0,8562068	1,0200298	0,9856850	0,2067760	0,9177227	0,7758525	0,8877236	1,0679274	0,0893475	0,9863024	0,2836119	0,7123144	1,0529601	1,0134949	0,3605575	0,8933872	0,9296667	0,3012566	0,3729030	0,4412640	0,6298825	1,0086264	0,7781568	1,0269644	0,4950651	0,9765337	0,8832113	0,8609231	1,0198125	0,5473227
560	0,6317762	0,9751709	0,8233178	1,0429685	1,0100393	0,2159151	0,9818543	0,7499425	0,9041291	1,1010210	0,1196485	1,0592434	0,2974486	0,6781703	1,0834852	0,9657346	0,3498236	0,8608470	0,8988667	0,3035901	0,3721024	0,4859761	0,5516720	0,9588172	0,7920466	0,9454929	0,5009604	0,9665960	0,8795012	0,8057133	0,9800429	0,5086545
580	0,6148029	1,0513499	0,8754774	1,0596200	1,0327617	0,2269580	1,0216782	0,7090108	0,9765958	1,0828386	0,0927613	1,0338821	0,3190246	0,7115143	1,0267115	0,9608158	0,3488751	0,9968068	0,9361149	0,2763055	0,4123793	0,5002771	0,5473770	0,9346326	0,8206595	0,9296220	0,4731663	1,0022001	0,8126958	0,8217707	0,8976819	0,5359674
600	0,5751715	1,0146504	0,8408932	0,9891825	1,0460126	0,2716366	0,9337220	0,7204325	0,9862731	1,0800680	0,1053891	1,0073098	0,3082215	0,6503472	1,0608846	0,9596089	0,3327645	0,8534155	0,9732201	0,2664027	0,4880054	0,4743808	0,5829596	1,0197923	0,7807831	0,9849547	0,5516879	0,9625014	0,7753823	0,8412811	1,0024896	0,5949225
620	0,6069314	1,0716781	0,8449425	0,9994807	0,9882467	0,3068979	0,8540145	0,6990086	0,8958316	0,9820769	0,1017732	0,9724343	0,2698793	0,5834015	0,9357425	0,9282801	0,3669251	0,7986911	0,9782790	0,2890083	0,6244914	0,5100545	0,6078264	0,9455286	0,7784315	1,0233969	0,5461829	1,0065998	0,7729059	0,8434378	0,9827038	0,6833098
640	0,6018649	1,0254069	0,8403609	1,0066331	0,9920065	0,2978590	0,8556904	0,7263816	0,9314173	1,1724513	0,1241938	0,9695666	0,2824963	0,5440696	0,9510843	0,9179709	0,3716274	0,7681239	0,9250906	0,2539513	0,6814325	0,4892220	0,5526770	0,9429733	0,8285876	1,0823542	0,5331247	0,9987850	0,7509818	0,8250097	1,0114089	0,6706968
660	0,6612739	0,9457102	0,8630470	0,9770869	0,9802492	0,3264150	0,8341604	0,7165343	1,0001962	1,1309739	0,1418545	0,9166267	0,2631209	0,5099299	1,0491655	0,9220208	0,3628189	0,7692824	0,9606935	0,2863665	0,6977455	0,5014948	0,6179370	0,9065354	0,8805429	1,0471824	0,5508497	0,9730597	0,7092095	0,8114609	0,9668713	0,6597481
680	0,6250010	0,9391832	0,9002250	0,9617208	1,0108907	0,3503333	0,8012750	0,7155245	0,9749101	1,0165970	0,1162232	0,9276594	0,2214441	0,4518307	1,0264038	0,9476826	0,3457187	0,8171787	0,9137393	0,2595169	0,7360277	0,4832669	0,5817044	0,9337778	0,8646281	1,0531195	0,5028918	0,9804711	0,7100408	0,8346268	0,9788413	0,6069537
700	0,5983061	0,8966957	0,8681536	0,9861634	0,8925141	0,3614788	0,7383853	0,6779126	0,9935756	1,0284532	0,1180985	0,8896555	0,2207668	0,3565363	1,0130743	0,9740387	0,3636393	0,7373427	0,9468719	0,2672498	0,7239868	0,5061979	0,6139560	0,9295374	0,8041372	1,0369306	0,4829589	0,9425611	0,6253631	0,8411267	0,9593216	0,5724886
720	0,6056397	0,9618989	0,8962436	0,9572730	0,9202708	0,3627474	0,7455677	0,6353785	0,9970923	1,0347774	0,0983328	0,8356482	0,1986088	0,3552300	0,9434813	0,9369911	0,3577229	0,6489163	0,9433659	0,2631716	0,7630099	0,4970692	0,5796048	0,9113053	0,7046187	1,0464203	0,4944617	0,9382412	0,6062820	0,7943588	0,9296782	0,5579536
740	0,6400850	0,8938887	0,9214817	0,9094988	0,9926243	0,3019801	0,7239413	0,6911265	0,9972022	1,0406914	0,1061398	0,8685699	0,2173631	0,3376000	0,9925605	0,9547004	0,3092132	0,6973085	0,9676156	0,3059868	0,7949070	0,4155251	0,5092093	1,0169322	0,7114291	1,0115363	0,4688014	0,9261276	0,5787616	0,8386465	0,9471255	0,5487600
760	0,6598795	0,8972918	0,8737583	0,9266810	1,0236660	0,2881861	0,7342212	0,6382185	1,0264197	0,9541320	0,0746030	0,9111914	0,1882269	0,2895683	0,9847220	0,9099130	0,3491383	0,7215829	0,8658555	0,3361452	0,7892763	0,3874256	0,5378908	1,0287356	0,6681049	1,0564561	0,4918678	0,8816904	0,5507083	0,7795817	0,9538402	0,5396557
780	0,6907518	0,8677343	0,8347469	0,9341303	0,9580135	0,2760660	0,7053402	0,7127101	1,0574319	0,9929681	0,0859769	0,9131260	0,2170364	0,3479643	0,9527241	0,8901145	0,3429853	0,8395630	0,8561845	0,3516673	0,7757590	0,3833131	0,5619334	0,9949363	0,6351679	1,0765129	0,4757585	0,8529097	0,5259706	0,7902078	0,9488109	0,5645410
800	0,6596994	0,9679877	0,7999229	0,9252901	0,9686414	0,2694277	0,7129011	0,7204227	0,9955377	0,9736700	0,0942704	0,9485452	0,2431823	0,3171881	0,9449264	0,9335470	0,3425614	0,7855733	0,8112611	0,3564346	0,7172212	0,3464243	0,5958356	1,0467191	0,6745279	1,0800716	0,4454456	0,8726214	0,5507997	0,7606796	1,0436309	0,5566460
820	0,6686412	1,0144799	0,8028444	0,8772228	1,0732478	0,2684055	0,6582027	0,6736888	0,9425361	1,0869068	0,1127185	0,9394139	0,2528523	0,3184929	0,9530769	0,9317506	0,3253232	0,7267837	0,8510514	0,2872607	0,6926414	0,3399934	0,6488678	1,0139710	0,7440798	0,9978358	0,4303901	0,9669738	0,5575823	0,7524849	1,1256389	0,5448605
840	0,6660779	1,0110435	0,7709587	0,9230425	1,0074699	0,2465112	0,6951202	0,7297429	0,8912338	0,9271677	0,1018755	0,9403071	0,2531788	0,3122768	0,9244611	0,9523633	0,3887767	0,8001644	0,8539718	0,2759657	0,7194377	0,3751536	0,6394942	1,0127555	0,8533085	0,9244053	0,4354346	0,9854050	0,5542475	0,7826879	1,1937917	0,5161957
860	0,5982063	1,0038707	0,8498666	0,9788165	1,0249668	0,2338571	0,7067242	0,7224024	0,9187449	0,9401159	0,0988596	0,8446915	0,2808371	0,4090574	0,9624535	0,9113507	0,3631614	0,7990505	0,8945747	0,2862246	0,7481797	0,3750597	0,6145219	1,0257575	0,8624561	0,9611489	0,4495084	0,9324724	0,5493392	0,7266705	1,0019388	0,4999293
880	0,6288607	0,9484001	0,8845124	0,9592546	1,0476363	0,2575816	0,6456486	0,7517037	0,9059454	0,8882933	0,0809830	0,8611273	0,3208042	0,3387519	0,9699286	0,9383329	0,3677590	0,8657642	0,9044811	0,2804023	0,8041790	0,3979467	0,6776113	1,0147547	0,8616162	1,0187875	0,4752363	0,9885801	0,5348732	0,7253286	1,0193997	0,5257525
900	0,6267891	0,9919813	0,7984904	0,9757675	1,0337707	0,2652325	0,6534453	0,7156502	0,9597716	0,9265478	0,0793985	0,8454142	0,3050850	0,3565785	0,9914644	0,9745253	0,4368000	0,8525564	0,8920800	0,2883987	0,7885565	0,4026942	0,5953453	1,1229662	0,8133234	1,0015683	0,4621704	1,0123945	0,5166215	0,7063911	0,9441262	0,5677573
920	0,6586941	0,9655630	0,8247553	1,0099076	0,9924272	0,3085274	0,6999342	0,6884062	0,9247183	0,9249391	0,0927727	0,8764739	0,2846003	0,3558893	0,8991908	1,0249339	0,4341053	0,7985157	0,8923748	0,2685924	0,7486013	0,4115599	0,5872719	1,0896006	0,8222950	1,0675921	0,4777185	0,9715979	0,5063971	0,7734678	0,9705237	0,5268116
940	0,6830729	0,9898723	0,7790420	1,0191211	0,8735141	0,2912145	0,6828218	0,6637880	0,9093101	0,9463781	0,0728807	0,9157387	0,2399809	0,4236190	0,8631023	1,0947586	0,4073280	0,7968002	0,9028293	0,2612852	0,7351387	0,3568280	0,5918570	1,0733524	0,7654115	1,0879047	0,4361938	0,9311464	0,5610081	0,8072764	0,9382697	0,5582308
960	0,6314851	1,0610842	0,7816535	0,9335497	0,9715149	0,3447361	0,6620697	0,6107327	1,0161474	0,9527369	0,0641869	0,9124380	0,2461445	0,4268727	0,9229220	1,0577871	0,4308400	0,8302356	0,8808484	0,2749334	0,7570456	0,3569080	0,6065929	1,0212436	0,7639649	0,9672104	0,4783852	0,8959567	0,5729623	0,8275907	0,9357932	0,5659573
