"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA
940	0,5511139	0,7045223	0,0598062	0,0957895	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780126	0,6243369	0,4955000	0,5469141	0,8297967	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765387	0,4332148	0,9479951	0,6259871	0,2006487	0,4231097	0,8652150	0,2150799
960	0,5511139	0,7045223	0,0598062	0,0957896	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780130	0,6243253	0,4954767	0,5468674	0,8297646	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765388	0,4331819	0,9479951	0,6259718	0,2006487	0,4230809	0,8652150	0,2151135
980	0,5511139	0,7045223	0,0598062	0,0957896	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780133	0,6243177	0,4954628	0,5468387	0,8297420	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765388	0,4331620	0,9479951	0,6259625	0,2006487	0,4230631	0,8652150	0,2151352
1000	0,5511139	0,7045223	0,0598062	0,0957897	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780135	0,6243128	0,4954546	0,5468212	0,8297260	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765389	0,4331501	0,9479951	0,6259569	0,2006487	0,4230523	0,8652150	0,2151493
1020	0,5511139	0,7045223	0,0598062	0,0957897	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780137	0,6243096	0,4954497	0,5468105	0,8297147	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765389	0,4331429	0,9479951	0,6259536	0,2006487	0,4230457	0,8652150	0,2151585
1040	0,5511139	0,7045223	0,0598062	0,0957898	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780139	0,6243075	0,4954468	0,5468040	0,8297067	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765390	0,4331385	0,9479951	0,6259515	0,2006487	0,4230416	0,8652150	0,2151644
1060	0,5511139	0,7045223	0,0598062	0,0957898	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780141	0,6243061	0,4954451	0,5468000	0,8297010	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765390	0,4331359	0,9479951	0,6259503	0,2006487	0,4230391	0,8652150	0,2151681
1080	0,5511139	0,7045223	0,0598062	0,0957898	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780142	0,6243052	0,4954441	0,5467976	0,8296971	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765390	0,4331344	0,9479951	0,6259496	0,2006487	0,4230376	0,8652150	0,2151706
1100	0,5511139	0,7045223	0,0598062	0,0957899	0,6572454	0,9990685	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4780144	0,6243046	0,4954435	0,5467961	0,8296943	0,4055448	0,9999837	0,9743005	0,4329303	0,9671299	0,4789362	0,0765390	0,4331334	0,9479951	0,6259491	0,2006487	0,4230367	0,8652150	0,2151722

0	0,5511139	0,7045223	0,0597909	0,0952432	0,6572454	0,9990691	0,4590286	0,0340355	0,9999499	0,2595832	0,8620456	0,6107937	0,2375856	0,4752666	0,6242997	0,4954422	0,5467924	0,8296262	0,4055473	0,9999837	0,9742654	0,4328864	0,9671637	0,4789033	0,0760717	0,4331310	0,9479898	0,6259471	0,2006484	0,4230337	0,8652153	0,2151841
20	0,5511139	0,7045223	0,0620157	0,1294205	0,6572454	0,9990690	0,4590286	0,0340355	0,9999499	0,2595833	0,8620456	0,6107917	0,2375849	0,4889910	0,6243011	0,4954423	0,5467930	0,8285544	0,4055466	0,9999837	0,9742771	0,4329002	0,9576053	0,4938395	0,0765130	0,4331314	0,9479918	0,6259477	0,2006485	0,4230343	0,8652152	0,2151808
40	0,5511139	0,7045223	0,0663360	0,1942920	0,6572454	0,9990689	0,4590286	0,0340355	0,9999499	0,2595833	0,8620456	0,6107905	0,2375844	0,5178127	0,6243020	0,4954425	0,5467933	0,8264393	0,4055461	0,9999837	0,9742850	0,4329097	0,9378236	0,5238062	0,0814004	0,4331316	0,9479931	0,6259480	0,2006485	0,4230347	0,8652151	0,2151787
60	0,5511139	0,7045223	0,0712560	0,2620047	0,6572454	0,9990688	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107897	0,2375841	0,5475308	0,6243025	0,4954425	0,5467935	0,8242297	0,4055457	0,9999837	0,9742902	0,4329162	0,9159389	0,5560347	0,0990715	0,4331318	0,9479938	0,6259482	0,2006486	0,4230350	0,8652150	0,2151773
80	0,5511139	0,7045223	0,0768291	0,3233100	0,6572454	0,9990687	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107892	0,2375839	0,5717278	0,6243029	0,4954426	0,5467936	0,8222919	0,4055454	0,9999837	0,9742937	0,4329207	0,8957065	0,5853873	0,1360637	0,4331319	0,9479943	0,6259483	0,2006486	0,4230351	0,8652150	0,2151765
100	0,5511139	0,7045223	0,0836051	0,3759249	0,6572454	0,9990687	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107889	0,2375837	0,5894003	0,6243031	0,4954426	0,5467937	0,8207246	0,4055453	0,9999837	0,9742960	0,4329237	0,8785561	0,6104617	0,1920367	0,4331319	0,9479946	0,6259484	0,2006486	0,4230352	0,8652150	0,2151759
120	0,5511139	0,7045223	0,0919945	0,4200552	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107887	0,2375836	0,6015565	0,6243033	0,4954426	0,5467937	0,8195129	0,4055451	0,9999837	0,9742975	0,4329258	0,8647448	0,6314501	0,2608709	0,4331319	0,9479948	0,6259484	0,2006486	0,4230353	0,8652150	0,2151756
140	0,5511139	0,7045223	0,1020316	0,4566878	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107886	0,2375836	0,6096146	0,6243034	0,4954426	0,5467938	0,8186020	0,4055451	0,9999837	0,9742985	0,4329273	0,8539930	0,6490440	0,3347043	0,4331320	0,9479949	0,6259484	0,2006486	0,4230353	0,8652150	0,2151753
160	0,5511139	0,7045223	0,1134113	0,4869421	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107885	0,2375835	0,6148266	0,6243035	0,4954426	0,5467938	0,8179296	0,4055450	0,9999837	0,9742992	0,4329282	0,8458216	0,6639505	0,4068938	0,4331320	0,9479950	0,6259485	0,2006486	0,4230353	0,8652150	0,2151752
180	0,5511139	0,7045223	0,1256333	0,5118471	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,6181407	0,6243035	0,4954426	0,5467938	0,8174394	0,4055449	0,9999837	0,9742997	0,4329289	0,8397219	0,6767314	0,4730800	0,4331320	0,9479950	0,6259485	0,2006486	0,4230353	0,8652150	0,2151751
200	0,5511139	0,7045223	0,1381484	0,5322880	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,6202223	0,6243035	0,4954426	0,5467938	0,8170852	0,4055449	0,9999837	0,9743000	0,4329294	0,8352312	0,6877883	0,5310612	0,4331320	0,9479950	0,6259485	0,2006486	0,4230353	0,8652150	0,2151750
