"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
460	0,0485368	0,0612287	0,3877661	0,7230431	0,6704690	0,0048986	0,7564616	0,0206007	0,2150012	0,7431165	0,6555704	0,7855434	0,6592744	0,5194170	0,4999847	0,0387163	0,0671010	0,7239331	0,0661287	0,0087867	0,5680067	0,6008709	0,3129184	0,6018712	0,0668909	0,6941267	0,4564327	0,6637956	0,0157246	0,4457523	0,1221582	0,0048785
480	0,0569192	0,0413337	0,4130926	0,6856461	0,6663384	0,0081366	0,6008528	0,0282113	0,2552617	0,7450612	0,5358982	0,7628671	0,6638153	0,6219417	0,5548491	0,0564119	0,0926298	0,7057384	0,0871686	0,0055905	0,6279996	0,7286858	0,4041613	0,6838626	0,1323808	0,8085123	0,4988509	0,6833985	0,0102561	0,3809942	0,1022657	0,0025576
500	0,0549267	0,0240234	0,5015223	0,9653338	0,9417406	0,0038860	0,7065415	0,0489184	0,1754075	0,7450764	0,6220754	0,7245519	0,6603273	0,7482681	0,5865138	0,0421881	0,0589917	0,6276740	0,0814557	0,0155855	0,5567238	0,6705198	0,3696433	0,6046202	0,1295105	0,6189914	0,3905601	0,5920578	0,0074711	0,4996475	0,0831712	0,0051205
520	0,0660551	0,0307656	0,4040871	0,7176621	0,7905783	0,0124630	0,6880562	0,0367541	0,3068284	0,6798641	0,6834386	0,6531688	0,6740805	0,7274421	0,5529166	0,0217656	0,0733659	0,6594098	0,0688766	0,0163854	0,6130671	0,6616616	0,3736348	0,5456382	0,1031938	0,7679705	0,4654254	0,7255991	0,0157872	0,3540693	0,0938163	0,0043929
540	0,0978731	0,0442534	0,4666780	0,7715537	0,6187729	0,0204022	0,6489916	0,0281428	0,2547476	0,7563125	0,6446434	0,8000827	0,7119481	0,6709810	0,6522374	0,0445873	0,0891643	0,6939963	0,0766500	0,0082559	0,5190106	0,6138982	0,4572076	0,6063143	0,0897307	0,6354730	0,5413369	0,6982377	0,0036545	0,4261797	0,0647678	0,0092718
560	0,0634682	0,0241698	0,4097828	0,7634164	0,7868550	0,0123860	0,7988061	0,0336682	0,2257284	0,7610007	0,5403362	0,7711867	0,5169006	0,6753800	0,7124309	0,0392640	0,0963993	0,6637752	0,1013172	0,0438102	0,6164789	0,7615204	0,3351364	0,5115678	0,0879910	0,5835448	0,5594950	0,6820289	0,0299709	0,3765505	0,1071586	0,0053841
580	0,0591170	0,0248193	0,5261421	0,7855549	0,6445049	0,0606369	0,7771686	0,0207982	0,2068043	0,8248407	0,5902109	0,8115421	0,6421269	0,5902996	0,5553300	0,0823428	0,0948168	0,5361574	0,0825140	0,0208491	0,6079199	0,6335491	0,3400500	0,3429520	0,0879243	0,7340077	0,3130779	0,7893863	0,0292790	0,4238312	0,1185078	0,0040845
600	0,0722207	0,0184598	0,4696300	0,7904788	0,7655467	0,0909892	0,8182570	0,0398274	0,2359545	0,7220131	0,5069213	0,7298477	0,7557391	0,5258660	0,5825441	0,0518282	0,1193436	0,4810177	0,0565248	0,0129486	0,5629357	0,5081225	0,3468295	0,2360700	0,0865894	0,6515277	0,3210083	0,7259706	0,0157136	0,4217547	0,0711743	0,0099271
620	0,0692837	0,0197550	0,4344070	0,8270950	0,6953187	0,0731068	0,7336336	0,0410213	0,2728744	0,6291791	0,5647877	0,8079455	0,6804268	0,3802195	0,5280578	0,0167346	0,0936474	0,5444626	0,0708970	0,0118488	0,6662112	0,4497978	0,4011112	0,1428765	0,0914407	0,6313768	0,2957173	0,6524600	0,0240407	0,3618130	0,0715926	0,0014233
640	0,0631750	0,0362799	0,4477458	0,7209340	0,7280641	0,0575311	0,8155594	0,0296038	0,2450244	0,6850932	0,4326881	0,6695610	0,6601589	0,4396391	0,4812919	0,0623047	0,0862442	0,3086997	0,0508869	0,0126275	0,5831907	0,3355762	0,3328922	0,1132580	0,0864011	0,7230794	0,2848501	0,7255623	0,0213067	0,5027075	0,0766363	0,0020630
660	0,0626593	0,0376005	0,5346734	0,7148863	0,7091451	0,0759232	0,7124402	0,0339213	0,2375501	0,6779175	0,5128006	0,8492944	0,6901775	0,4040932	0,5317857	0,0204450	0,0576716	0,3906658	0,0811143	0,0184390	0,6447186	0,3590988	0,4079862	0,0690975	0,0991608	0,8606709	0,2524193	0,7664797	0,0177250	0,4469864	0,0940951	0,0021985
680	0,0648141	0,0208292	0,5033309	0,8305892	0,6863054	0,0847254	0,8059020	0,0345348	0,2718063	0,7784810	0,4860709	0,5903588	0,6745658	0,4035530	0,5494916	0,0206673	0,0688818	0,3335232	0,0624214	0,0171693	0,6097266	0,4272228	0,5427456	0,0649709	0,1039294	0,7008605	0,2061054	0,8392176	0,0270108	0,4702529	0,0624344	0,0023039
