"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
460	0,4778519	0,2397016	0,1600150	0,3142827	0,1703681	0,1386568	0,0463014	0,1451764	0,4387360	0,6736727	0,0735362	0,1498434	0,6201256	0,0757436	0,2845700	0,2055241	0,2784543	0,1319773	0,7172190	0,7771406	0,4546036	0,1308007	0,4609743	0,3472150	0,7106191	0,5092440	0,6047135	0,0813602	0,3360684	0,3966594	0,1766351	0,5137584
480	0,3688043	0,2901390	0,1409924	0,3331812	0,1959597	0,1130239	0,0647918	0,2809069	0,5010922	0,5004738	0,0312348	0,2149459	0,4259587	0,0999310	0,2162540	0,1601926	0,2014162	0,2069401	0,6578739	0,6720624	0,5884395	0,1756003	0,4174675	0,2847497	0,5518954	0,5009110	0,6983927	0,0831278	0,2779852	0,4843582	0,2223219	0,4465779
500	0,3876205	0,2568668	0,1324659	0,4022488	0,2106612	0,1468822	0,0519357	0,1941961	0,4616675	0,4687805	0,0485803	0,1521409	0,4694021	0,0668659	0,3146100	0,1591108	0,3293070	0,1481686	0,6770771	0,6791818	0,6614609	0,1811877	0,4069430	0,3374077	0,6912740	0,5101970	0,6349166	0,0696414	0,2267607	0,4616978	0,1883578	0,4515400
520	0,4294936	0,2873178	0,1800353	0,3430258	0,1302176	0,1107906	0,0849093	0,2725858	0,3847866	0,6108176	0,0559864	0,1854417	0,5235316	0,1127623	0,2898662	0,1698250	0,2787176	0,1575213	0,6922377	0,8866733	0,7326363	0,1697143	0,4199187	0,2522603	0,6419416	0,4116525	0,8149863	0,1247704	0,3041445	0,4574912	0,1759924	0,4028207
540	0,3599095	0,3908360	0,1377471	0,3887059	0,1179724	0,0779310	0,0271571	0,1592594	0,4218054	0,5263080	0,0465480	0,1395246	0,3784729	0,0618364	0,3108353	0,1805932	0,3048677	0,2331357	0,7116070	0,6695797	0,6439520	0,1852309	0,4268687	0,1875253	0,6263661	0,5354402	0,7927073	0,0942547	0,2506678	0,4428620	0,1922229	0,3294115
560	0,2860430	0,2571277	0,1855317	0,3406979	0,1348965	0,1469835	0,0546497	0,0992772	0,4697128	0,4713872	0,0270827	0,1437822	0,4934933	0,0421766	0,3708525	0,1609821	0,2534701	0,2267656	0,7558779	0,7957318	0,5153718	0,1289043	0,4459505	0,2039279	0,6423022	0,5647193	0,7067056	0,0538247	0,3510514	0,4860350	0,2163834	0,3984297
580	0,3980903	0,2631768	0,1739345	0,3973431	0,2228095	0,1033283	0,0521791	0,3979792	0,4758305	0,5180281	0,1007776	0,1687109	0,4620552	0,0798863	0,1755344	0,1956526	0,1751821	0,3590984	0,7816623	0,3887467	0,6985565	0,2087750	0,3979390	0,2017018	0,3821615	0,4761723	0,6784680	0,2739283	0,2902960	0,4974476	0,2218401	0,3745082
600	0,3375205	0,2396054	0,2226070	0,2985222	0,1124160	0,1509257	0,0937953	0,3916510	0,4753779	0,6597923	0,0787717	0,1187386	0,5129727	0,0445921	0,2557322	0,1317654	0,1897656	0,3238489	0,6661976	0,2787825	0,6394656	0,1676972	0,4151142	0,2179166	0,3364604	0,7185538	0,7409044	0,3803735	0,3430837	0,5807704	0,1304746	0,3524921
620	0,3353621	0,2285391	0,2729624	0,2688569	0,1800491	0,1952141	0,0785871	0,4245702	0,4167036	0,6294267	0,1312137	0,1187408	0,5805165	0,0141159	0,1048879	0,1089072	0,2107984	0,3635998	0,5143040	0,1679222	0,6115598	0,1811474	0,5327560	0,2412905	0,2470723	0,5603757	0,6781011	0,4410329	0,2570030	0,5679074	0,1854176	0,4784870
640	0,3596743	0,3202546	0,2205840	0,3247176	0,1491052	0,1637454	0,1315323	0,3833767	0,4345136	0,5191561	0,2542204	0,1591620	0,4335528	0,0496543	0,1157428	0,1437207	0,2248319	0,3710033	0,6279473	0,1390486	0,4761619	0,3080296	0,3764092	0,2790195	0,1975639	0,4610012	0,6813079	0,5623597	0,2499986	0,5688957	0,1690498	0,3804007
