"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
580	0,0103590	0,4734120	0,0378107	0,0368646	0,2406954	0,4425892	0,7486277	0,4483761	0,2112399	0,3301686	0,1827673	0,5521380	0,1164734	0,4270089	0,4297523	0,3956585	0,2086250	0,2219504	0,7338345	0,0636388	0,6346446	0,0329208	0,0396936	0,4558419	0,6447942	0,0586160	0,7726931	0,5403093	0,6271194	0,4086454	0,7113173	0,3205520
600	0,0208870	0,4394242	0,0323458	0,0160236	0,2794657	0,3814445	0,6822309	0,3771805	0,3930424	0,3435655	0,2119011	0,4782280	0,1084042	0,3964069	0,4879225	0,3988882	0,2124314	0,3327727	0,8737776	0,0256562	0,6686133	0,0236654	0,0491403	0,3575394	0,5838740	0,0335261	0,7054434	0,7197929	0,5397376	0,2363082	0,7703758	0,3002398
620	0,0348528	0,4489180	0,0288276	0,0263706	0,2106199	0,4360821	0,7272306	0,4113349	0,2728201	0,3587720	0,2366160	0,5670183	0,0850614	0,4184400	0,4908448	0,4882582	0,2634185	0,2669140	0,8076411	0,0390555	0,6791498	0,0198178	0,0687344	0,3210281	0,7302522	0,0607249	0,7083030	0,5963222	0,7374709	0,1065023	0,6654125	0,2792920
640	0,0213374	0,4170911	0,1018542	0,0294966	0,1800930	0,3878006	0,6993219	0,4577599	0,3277653	0,4191994	0,2515486	0,6040553	0,0880696	0,4194212	0,4047452	0,4469474	0,1876005	0,2847979	0,8130522	0,0439420	0,7032184	0,0321662	0,0657827	0,2531838	0,5891403	0,0612158	0,6816393	0,6460139	0,6679801	0,0669874	0,6963921	0,2878038
660	0,0216959	0,4021351	0,0180205	0,0101932	0,2392800	0,4455503	0,8192691	0,3807394	0,3906146	0,3686913	0,2637974	0,5713549	0,1120638	0,4290228	0,5064750	0,4647115	0,2252859	0,2082537	0,7589096	0,0453201	0,8763651	0,0178641	0,0315743	0,2735465	0,6406292	0,0909643	0,6691790	0,5819295	0,6657783	0,0188725	0,7172400	0,2966603
680	0,0128613	0,4507031	0,0427837	0,0166842	0,2064733	0,5080150	0,7563408	0,4206809	0,3097460	0,3930896	0,1654732	0,5330120	0,0497159	0,4163449	0,4206617	0,3627523	0,2340801	0,1908167	0,6404989	0,0541663	0,7236032	0,0387761	0,0204885	0,2218889	0,6594412	0,0491120	0,8086241	0,5380071	0,5958349	0,0153723	0,6744750	0,2567265
700	0,0115604	0,4517074	0,0194079	0,0106399	0,2045363	0,4149709	0,7476483	0,3430263	0,3344203	0,2788154	0,2830223	0,6476991	0,0704427	0,4207030	0,4577781	0,3372915	0,1980069	0,1699789	0,7783161	0,0346073	0,7010758	0,0406599	0,0369884	0,2297359	0,5660808	0,0601015	0,7682806	0,4847660	0,6376273	0,0151590	0,6690508	0,2667381
720	0,0131119	0,4847314	0,0341802	0,0102832	0,2105414	0,4143580	0,8018641	0,3294522	0,3387374	0,4434670	0,2623299	0,5267359	0,0492189	0,4045032	0,4267465	0,3501672	0,2405635	0,2197179	0,8347210	0,0353383	0,5872141	0,0255043	0,0648466	0,2922269	0,5123937	0,0432163	0,7044322	0,5715295	0,7383637	0,0039629	0,7416049	0,2719971
740	0,0024315	0,4603793	0,0515356	0,0295100	0,2045606	0,3559057	0,6818225	0,3722451	0,2780679	0,5851345	0,2413728	0,4912141	0,1302119	0,3877067	0,3525348	0,2794487	0,1791926	0,1687395	0,7918511	0,0431529	0,8121643	0,0336172	0,0356755	0,2200607	0,5563947	0,0251761	0,7809893	0,5513055	0,6207019	0,0025718	0,6508720	0,2344584
760	0,0070993	0,3572103	0,0289564	0,0135151	0,2057036	0,4496941	0,6384333	0,3268884	0,3122909	0,4211117	0,2505732	0,5575012	0,0636628	0,4013943	0,3889713	0,4209311	0,2462484	0,2492139	0,6904264	0,0384091	0,7132984	0,0453428	0,0187717	0,2138335	0,5684685	0,0349270	0,9024902	0,4781782	0,7600292	0,0032087	0,6274261	0,2304331
780	0,0135857	0,3986804	0,0369605	0,0196546	0,2451124	0,4871096	0,5980755	0,3749397	0,4550445	0,4117841	0,2693523	0,5233531	0,1058364	0,3410714	0,3978154	0,4357594	0,1917130	0,2045875	0,5809779	0,0348079	0,7089889	0,0426352	0,0321674	0,2181770	0,5220651	0,0463863	0,6748888	0,5483261	0,7278008	0,0006866	0,6237205	0,3071952
800	0,0017088	0,3949486	0,0336806	0,0211046	0,2642656	0,3693619	0,6634007	0,4358136	0,3083495	0,3387123	0,2763692	0,5027488	0,0727330	0,4222021	0,4203065	0,4274867	0,2730422	0,2224141	0,6597684	0,0388829	0,8374970	0,0330383	0,0233377	0,2271774	0,5709418	0,0483089	0,7660296	0,5280178	0,6541632	0,0027397	0,7542603	0,3130174
820	0,0173861	0,3843396	0,0156911	0,0272805	0,2355442	0,4506528	0,7599984	0,4424775	0,3451348	0,4080821	0,1830453	0,5590198	0,0626346	0,4066929	0,3760189	0,3625909	0,2907135	0,2134695	0,7634345	0,0208204	0,6361384	0,0235696	0,0414470	0,3029166	0,6188157	0,0538623	0,7308994	0,5590563	0,6633158	0,0016721	0,6840196	0,3645121
840	0,0133580	0,3005852	0,0275840	0,0143988	0,2550145	0,4427843	0,7568286	0,3653347	0,3061195	0,3936450	0,2516429	0,4991755	0,0773158	0,4022535	0,3831047	0,4088013	0,2054071	0,2447606	0,6137454	0,0454726	0,5959055	0,0285499	0,0571302	0,2691907	0,6026172	0,0529081	0,7815000	0,4871407	0,7130228	0,0000718	0,7394834	0,3615212
860	0,0117518	0,4501338	0,0170997	0,0102329	0,2145894	0,4456651	0,7649867	0,4475013	0,3591620	0,3107226	0,2296182	0,5007945	0,0968269	0,3353951	0,4869546	0,4060667	0,2387036	0,2367209	0,6467051	0,0390054	0,6129089	0,0170263	0,0169788	0,3042724	0,5472701	0,0344571	0,8327416	0,3883558	0,7001003	0,0011759	0,5675058	0,2886891
