"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
460	0,4100381	0,4063240	0,2530814	0,3689133	0,4225304	0,8112099	0,2179409	0,6208644	0,9358738	0,9959148	0,5861329	1,0167893	0,2116633	0,6851432	0,6676105	0,8089844	0,9106235	0,6641024	0,5991643	0,4182188	0,2963568	0,6308471	0,8757026	0,1283495	0,9599117	0,1672568	0,6474381	0,8613242	0,1095073	0,0374863	0,0386878	0,5022054
480	0,4300596	0,3489085	0,2520598	0,3620943	0,4444784	0,8196048	0,1977602	0,6143468	0,9489642	0,9854594	0,6118414	1,0886763	0,2041713	0,6340488	0,6895873	0,7844398	0,9112571	0,6720098	0,5740324	0,4251321	0,2953300	0,6961391	0,9526075	0,1626212	0,9716065	0,1507196	0,6096476	0,8201054	0,0700101	0,0448641	0,0528270	0,4813260
500	0,4861478	0,3927345	0,2761650	0,4042187	0,4191510	0,8896622	0,1857568	0,6571937	0,9363478	0,9868867	0,6043793	1,0398044	0,1819934	0,6075931	0,6717764	0,7701358	0,8963533	0,6680591	0,5939008	0,4119143	0,3412470	0,6876184	0,9660707	0,1599283	0,9879814	0,1451938	0,6340380	0,8162243	0,0684848	0,0352979	0,0554728	0,4620511
520	0,5321586	0,3439411	0,3176198	0,3952099	0,3926834	0,7959083	0,1803784	0,6268119	0,9725173	0,9309950	0,5565777	1,0127954	0,1345872	0,5902864	0,6938056	0,7639490	0,9250400	0,6580338	0,5413833	0,4020065	0,3350847	0,6590454	0,9350640	0,1522286	0,9428800	0,0913245	0,6818366	0,8173884	0,0772589	0,0421823	0,0531577	0,4545309
540	0,5301251	0,3428809	0,3024672	0,3814372	0,3987485	0,8159817	0,1955811	0,6487618	0,9513095	0,8901891	0,5947154	0,9988034	0,1560570	0,5860377	0,7142763	0,6834373	0,9095070	0,6630074	0,5956656	0,3994259	0,3488738	0,6585033	0,9624914	0,1596297	0,9252709	0,1137082	0,7420451	0,8204330	0,0825076	0,0378312	0,0282603	0,4028622
560	0,5149642	0,3622956	0,2979215	0,3576146	0,3776577	0,8160082	0,1913299	0,6565289	0,8986708	0,8530191	0,5772016	1,0506356	0,1579528	0,5514973	0,6824000	0,6947303	0,9135209	0,6789928	0,6247357	0,3809485	0,3570297	0,6447095	0,9437168	0,1310529	0,9737062	0,1155545	0,7521229	0,8106671	0,0809380	0,0381838	0,0269315	0,3586317
580	0,4217805	0,3365247	0,2663245	0,4081554	0,3773928	0,8582196	0,1904166	0,6600047	0,9690883	0,8982164	0,5439287	1,0097564	0,1829127	0,5750013	0,7417320	0,8037218	0,8626921	0,6646351	0,5305538	0,2957873	0,3416483	0,4036070	0,9286580	0,1146099	0,9946082	0,3822980	0,7303956	0,8109811	0,0845635	0,0307470	0,1115787	0,4154682
600	0,4166003	0,2988140	0,2632997	0,3820330	0,4158179	0,8362092	0,1593801	0,6272422	0,9081567	0,9479938	0,5845025	1,0178363	0,1759307	0,6031369	0,6917307	0,7810215	0,8875328	0,7087491	0,5772978	0,2405733	0,3512835	0,2930340	0,9121920	0,1276449	0,9655791	0,5591420	0,6857950	0,8595379	0,0970528	0,0321267	0,1963186	0,4668950
620	0,3901253	0,3280727	0,2516587	0,3887292	0,4226758	0,8901253	0,1635265	0,6245867	0,9215778	0,9589447	0,5771368	1,0058369	0,1863874	0,6372838	0,6987766	0,8486626	0,8602124	0,7316653	0,5703402	0,2482479	0,3372665	0,2193269	0,8633407	0,1325972	0,9054385	0,7101722	0,7159384	0,8768056	0,0810215	0,0390499	0,2469422	0,4903051
640	0,3672544	0,3409650	0,2690157	0,4211331	0,4058453	0,8149148	0,1642481	0,6035755	0,9358288	0,9704818	0,6313924	1,0205602	0,1698546	0,6536649	0,6774735	0,8418299	0,8050255	0,7150657	0,5847832	0,2530862	0,3508465	0,1843662	0,8700752	0,1332962	0,8590742	0,8256405	0,7449917	0,8875682	0,1032137	0,0327302	0,2355909	0,4703924
660	0,4420360	0,3077903	0,2452054	0,4171467	0,4127264	0,8536942	0,1700570	0,6517398	0,9583306	0,9637595	0,5706558	1,0394555	0,1513750	0,6117623	0,6775735	0,8754609	0,8601325	0,6894386	0,6144177	0,2180615	0,3660052	0,1771012	0,8498573	0,1523950	0,9019688	0,8459828	0,8240896	0,8046222	0,0955112	0,0245551	0,2517940	0,5117264
680	0,4739139	0,2927312	0,2472135	0,4301263	0,4364982	0,7820831	0,1534049	0,6376925	0,9359686	0,9527366	0,5574083	1,0544917	0,1664221	0,6363156	0,7456652	0,8190165	0,8066504	0,6574465	0,5427226	0,1925393	0,3413933	0,1720686	0,8512408	0,1326758	0,8943956	0,8352906	0,7362047	0,8222576	0,1115423	0,0286748	0,2712381	0,4833939
700	0,4599331	0,3025401	0,2435250	0,4168778	0,4767419	0,8598487	0,1712213	0,6509117	0,8854952	1,0136223	0,5650609	0,9935780	0,1844294	0,5875379	0,7312166	0,8188693	0,8721248	0,6604042	0,5649857	0,1609207	0,3109294	0,1256324	0,8086144	0,1345515	0,9191756	0,7621210	0,7957709	0,7970955	0,0915626	0,0321300	0,2658676	0,4815864
720	0,4028905	0,3061568	0,2518679	0,4203774	0,4341909	0,8734926	0,2057700	0,5890117	0,9308225	0,9447535	0,5597050	0,9310038	0,1912602	0,5929142	0,7081459	0,8466170	0,8668850	0,6821042	0,5880565	0,1537465	0,3311422	0,1305294	0,8088149	0,1472557	0,9694135	0,6772085	0,7932892	0,8234819	0,0968530	0,0460620	0,2654449	0,4977936
740	0,3987091	0,3295564	0,2643470	0,4219373	0,4247734	0,8586245	0,2049297	0,6299709	0,9392672	0,9223766	0,6049751	0,9483140	0,1699678	0,5910424	0,7187389	0,9237041	0,8414822	0,7053032	0,5883063	0,1821557	0,3678031	0,1348116	0,8025936	0,1348255	0,9373114	0,6908274	0,7468764	0,7353047	0,1035379	0,0526113	0,2609644	0,4558043
