"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA
560	0,3875651	0,4447962	0,0395788	0,0517514	0,4379967	0,7512859	0,3058772	0,0446973	0,7910653	0,2185888	0,7210007	0,4928128	0,1436800	0,2662302	0,5102212	0,5157592	0,5824686	0,6485567	0,3804057	0,5993840	0,8532689	0,2614341	0,6908979	0,3458454	0,0377872	0,6447030	0,5570337	0,4399015	0,1430191	0,4506804	0,5557870	0,1010173
580	0,4219993	0,5181273	0,0333242	0,0622439	0,4390231	0,6652476	0,3693929	0,0122301	0,7308521	0,1776324	0,6981538	0,4264743	0,1603582	0,3140104	0,4341741	0,4836409	0,6106141	0,6389915	0,3156920	0,5391418	0,6214219	0,3570804	0,6374653	0,3672957	0,0882552	0,4918317	0,5498939	0,4992660	0,1899109	0,3894482	0,5928902	0,0776195
600	0,3541040	0,5912771	0,0178825	0,0708666	0,4991385	0,7525415	0,2681068	0,0262055	0,7455587	0,2402025	0,6349204	0,4861407	0,1291652	0,3829311	0,4886103	0,4792387	0,4694353	0,5457445	0,2608480	0,6129215	0,6683309	0,2984156	0,6244956	0,3304586	0,0615993	0,5095859	0,6347143	0,4727183	0,1747653	0,4541138	0,5619061	0,0779341
620	0,3642391	0,4405844	0,0356314	0,1035619	0,4409255	0,6750948	0,3857492	0,0139589	0,7023732	0,1880440	0,5527123	0,4714959	0,1606360	0,2777700	0,4241896	0,5424179	0,4943534	0,5758559	0,3237016	0,6968406	0,7215006	0,3915794	0,7189102	0,3862590	0,0527486	0,4274332	0,5567693	0,5063152	0,1345077	0,3477056	0,7065892	0,0964545
640	0,4140560	0,4048069	0,0697577	0,0614313	0,4632374	0,7007509	0,3134719	0,0415045	0,6575751	0,1708710	0,5945595	0,4481078	0,1995842	0,2757717	0,4391832	0,3872202	0,4959456	0,5631838	0,3714479	0,7202225	0,6945249	0,2919208	0,7350958	0,3142458	0,0318062	0,4164065	0,6568851	0,5687855	0,1336855	0,2972036	0,7142016	0,1519478
660	0,3948777	0,3734954	0,0385515	0,1017133	0,5195428	0,6364145	0,4011362	0,0317896	0,7764203	0,1384764	0,5191704	0,4319670	0,2080447	0,2225715	0,5370984	0,4582117	0,4675549	0,4874542	0,2677341	0,7164472	0,7729015	0,3082048	0,6664791	0,3735155	0,0672180	0,3986108	0,8372373	0,4677936	0,1680960	0,4216487	0,7646063	0,1439323
680	0,3936049	0,5612680	0,0270269	0,0402720	0,5060556	0,7741608	0,3235589	0,0419795	0,7123343	0,1766385	0,5920355	0,4620371	0,1526363	0,3766176	0,5298907	0,3417025	0,4494277	0,5600597	0,3217570	0,7685403	0,8507963	0,3658377	0,6192513	0,4240217	0,0560997	0,3412126	0,8258477	0,4434783	0,2154890	0,3646666	0,6275145	0,1854037
700	0,4002574	0,5134206	0,0127249	0,0609419	0,4856398	0,6627293	0,3062656	0,0309581	0,8034652	0,2015287	0,7547421	0,4849436	0,1618564	0,3288413	0,4328618	0,4069750	0,4646037	0,5314630	0,2468167	0,7552108	0,8500821	0,3372841	0,6530844	0,3137076	0,0823397	0,2939246	0,7925157	0,5249931	0,1986888	0,3454467	0,6671231	0,1854820
720	0,3766779	0,5469623	0,0768718	0,0478962	0,5990147	0,6446373	0,4643049	0,0380564	0,7553535	0,1869625	0,6154944	0,4816494	0,1315079	0,4244119	0,4639995	0,3908700	0,4402499	0,5740356	0,2111350	0,6473537	0,8809431	0,3396065	0,7265720	0,3773110	0,0399284	0,3772165	0,6561459	0,4424020	0,1260552	0,3463029	0,6521347	0,1420496
740	0,4225003	0,5122678	0,0671978	0,0555701	0,4587601	0,7690580	0,4773268	0,0217337	0,6867499	0,2967715	0,6200538	0,3550005	0,1322314	0,4256602	0,3995461	0,3296889	0,3828637	0,6163241	0,3038439	0,6566241	0,7040314	0,4118916	0,7048712	0,3711803	0,0614140	0,3491408	0,6091380	0,5053760	0,1229715	0,3295728	0,7912361	0,1470251
