"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
540	0,7115061	0,7221142	0,6559307	0,1364742	0,9040305	0,5559664	0,7051687	0,3737596	0,3281647	0,8703445	1,0081649	0,6117643	0,8560551	1,0558925	0,8192747	0,8672773	0,0367298	0,8455328	0,7217263	0,8327783	0,1456660	0,2568211	0,2166457	0,7373873	0,7966735	0,2873168	0,1780439	0,6404303	0,9114243	0,4602053	0,6388690	0,5032794
560	0,6517515	0,7742550	0,6488915	0,1399977	0,8556193	0,5609682	0,6774737	0,4160817	0,3730864	0,8897034	1,0033139	0,6456283	0,8280476	1,0771207	0,8122405	0,8556245	0,0472786	0,8522078	0,6960720	0,8089892	0,1313191	0,2868894	0,1890252	0,7756838	0,7657669	0,2965130	0,1767047	0,6489764	0,8499701	0,4672139	0,6188512	0,5324145
580	0,6497387	0,7752132	0,6809031	0,1336089	0,9254291	0,5827420	0,6650176	0,4291323	0,3838970	0,8431498	0,9521040	0,6166376	0,8619970	1,0321238	0,8322185	0,8137643	0,0481299	0,8464753	0,7474927	0,8247692	0,1266052	0,2964972	0,1700888	0,7639761	0,7864954	0,2739593	0,2305000	0,6976897	0,8613551	0,4544300	0,5858263	0,5348215
600	0,6464891	0,9130761	0,6919357	0,1158943	0,9131169	0,5772016	0,6402402	0,4227310	0,3969245	0,8471562	0,9570422	0,5748786	0,8755160	0,9691195	0,8115492	0,8175262	0,0554902	0,8656074	0,7355786	0,8385963	0,1235878	0,3167046	0,1904147	0,8412204	0,7715546	0,2856915	0,4020850	0,6750569	0,9149629	0,4997072	0,5715406	0,5314857
620	0,5771419	0,8412443	0,6097417	0,1127583	0,9472982	0,5999617	0,5975904	0,3547785	0,4030624	0,7646536	0,9451410	0,5680956	0,9479118	0,9653628	0,7697748	0,8774806	0,0622684	0,9022009	0,7530531	0,9038937	0,1159215	0,2793324	0,1527796	0,7966005	0,7957165	0,2690152	0,5019883	0,6544068	1,0113749	0,4969820	0,5515266	0,4869680
640	0,5686930	0,9466447	0,6354964	0,1124094	1,0049129	0,6299776	0,6050268	0,3177963	0,3730570	0,7757870	0,9885765	0,5765851	0,9102365	0,9745791	0,8132586	0,8154911	0,0828937	0,8604207	0,8033489	0,9225368	0,1219696	0,2890664	0,1285235	0,8272795	0,8198149	0,2456365	0,5818034	0,7350759	1,0456534	0,4708898	0,5777318	0,4886534
660	0,5260376	0,8722285	0,5483903	0,1423652	0,9175143	0,6202790	0,5934216	0,4163173	0,3836849	0,7543206	0,9706103	0,6355269	0,8814088	0,9800306	0,7417779	0,6919355	0,0697798	0,8999394	0,7761640	0,9231217	0,1327277	0,2563672	0,1183042	0,8100114	0,8313594	0,2018084	0,6298828	0,7114588	0,9256051	0,4570421	0,5318118	0,5838271
680	0,5129931	0,9229275	0,5691398	0,1352913	0,9393630	0,6185189	0,6554732	0,4086050	0,4004401	0,7908462	0,9436939	0,6157581	0,9101363	0,9103198	0,7951143	0,7296442	0,0935141	0,9288498	0,7705227	0,8802208	0,1316112	0,2369909	0,0967481	0,8114349	0,7846978	0,2600625	0,6828892	0,7490979	0,9656471	0,4943800	0,5439726	0,6291956
700	0,4978910	0,9317871	0,5153193	0,1530954	1,0530497	0,5861912	0,6247607	0,4082541	0,3699995	0,8043130	0,8613156	0,6209229	0,9573049	0,8919853	0,7245079	0,8087862	0,0866058	0,8695282	0,7487652	0,9071545	0,1095859	0,2222161	0,0939789	0,8503749	0,7077124	0,2521259	0,6340931	0,7094962	0,9063820	0,4978372	0,5088570	0,6082936
720	0,5385461	1,0079427	0,4596828	0,1796779	1,0983244	0,6138998	0,6154854	0,4350409	0,4054620	0,7585705	0,9474232	0,5713775	0,9773635	0,8614516	0,7449220	0,7949025	0,0623827	0,8825695	0,7624612	1,0152245	0,0877771	0,2171694	0,0906076	0,9147113	0,7000679	0,2542486	0,7452412	0,7610194	0,9738663	0,4906450	0,5479809	0,5826431
740	0,4827075	1,0808320	0,4953941	0,1852584	1,0210725	0,6708833	0,5974992	0,3457152	0,3879109	0,7758580	1,0054982	0,5943556	0,9908451	0,8234117	0,7795101	0,8513721	0,0498924	0,8570011	0,7329691	0,9620422	0,1094641	0,1811673	0,0740336	0,9948468	0,7072001	0,2451093	0,8292434	0,8731909	0,9926940	0,5044035	0,5257292	0,5869401
760	0,4384681	1,0938818	0,4827551	0,1870069	0,9091046	0,6607472	0,5969752	0,3608044	0,3932669	0,7420434	0,9896778	0,5908944	1,0231110	0,8335831	0,8794908	0,8578723	0,0415099	0,8984478	0,7563723	0,9144564	0,1204329	0,1732522	0,0626675	0,9317151	0,6227156	0,2435883	0,8599978	0,9167211	0,9737367	0,5515553	0,5136852	0,6203077
780	0,4417428	1,0771457	0,4620062	0,1921921	0,9431306	0,6986759	0,6361646	0,4051131	0,3864981	0,6982297	0,9918061	0,6579319	0,9489625	0,9127568	0,8372050	0,8414873	0,0345194	0,9118681	0,8009004	0,8744491	0,1004098	0,1579476	0,0557918	0,8575913	0,5916292	0,2391188	0,8820756	0,8575931	0,9424962	0,5099014	0,5474576	0,6331635
800	0,4297106	1,0733577	0,5045044	0,1924801	0,9089234	0,6519717	0,6713179	0,3646100	0,4129356	0,7129799	0,9392512	0,6520374	0,9712628	0,8356388	0,8550464	0,7502257	0,0427959	0,8996128	0,8303928	0,8416559	0,1212801	0,1353193	0,0704778	0,7936982	0,5507648	0,2158119	0,8933444	0,8355042	0,9558509	0,5149381	0,5167733	0,6322428
820	0,4176447	1,0070303	0,4546025	0,1929177	0,9285851	0,5939993	0,6206075	0,3825612	0,3956874	0,7278510	0,9865342	0,6692580	0,9059481	0,8086731	0,8071164	0,7708917	0,0437277	0,8998245	0,8065315	0,8375270	0,1345388	0,1395508	0,0712425	0,7961006	0,6434329	0,2292147	0,8528237	0,8868708	0,9741802	0,5039475	0,5287814	0,5740284
840	0,4065702	0,9557288	0,4415335	0,2078559	0,9417899	0,5895974	0,6152947	0,3839402	0,3831413	0,7331824	0,9436783	0,6962628	0,9259457	0,7627563	0,7775351	0,7417152	0,0560069	0,9528657	0,8070934	0,8365531	0,1310686	0,1539587	0,0692027	0,8508827	0,6726213	0,2571302	0,8379146	0,8322191	0,8866858	0,4780830	0,5975571	0,6059635
860	0,3833459	1,0463338	0,4781435	0,1687609	0,9178651	0,6023375	0,6294938	0,3680660	0,3302884	0,7326697	0,9278942	0,6695806	0,9719840	0,7754676	0,8057830	0,6304311	0,0515920	0,9411855	0,8475732	0,8296420	0,1205638	0,1447449	0,0650871	0,8607060	0,6684682	0,2819754	0,8603144	0,7850526	0,8815083	0,4736645	0,6246755	0,5447564
880	0,4078786	1,0864966	0,4483641	0,1631445	1,0345554	0,5859994	0,6156980	0,3841998	0,3870387	0,6313012	0,9470841	0,6981223	0,9519063	0,7636404	0,8258517	0,6227601	0,0694829	0,8625691	0,8524008	0,8365690	0,1159595	0,1194781	0,0757966	0,8852738	0,7115868	0,2618160	0,8835634	0,8124107	0,8796971	0,4716459	0,6157704	0,5416863
900	0,4052934	1,0378030	0,4000172	0,1752534	1,0110952	0,5708745	0,6036212	0,3451409	0,3886604	0,6104819	0,8912751	0,6812605	0,9238992	0,7809993	0,7842547	0,6457407	0,0535382	0,9069965	0,8180126	0,8227360	0,1247578	0,1288993	0,0882670	0,8839618	0,7351387	0,2857144	0,9234749	0,8280700	0,8585172	0,4297919	0,5819751	0,5613282
920	0,3725414	1,0518089	0,4788127	0,1684704	0,9759127	0,6592659	0,6633327	0,2960785	0,4126124	0,6131393	0,8967545	0,6958941	0,9173298	0,7628777	0,7970877	0,6638465	0,0634711	0,8345893	0,7542295	0,8230833	0,1334327	0,1336927	0,0925215	0,9405452	0,7097590	0,3062061	0,8970384	0,7532608	1,0193155	0,4468086	0,5717762	0,5678888
940	0,3830665	1,0127141	0,5098588	0,1766280	1,0046820	0,6065257	0,6456975	0,3651908	0,4103755	0,6321974	0,9986475	0,6641050	0,9073427	0,7549357	0,7577592	0,6807198	0,0550247	0,8753329	0,8023542	0,8277061	0,1490774	0,1416604	0,0750367	0,8475691	0,7095277	0,3091681	0,9414330	0,8248635	0,9901164	0,3997467	0,5487545	0,5489337
960	0,3719486	0,9705529	0,6320006	0,1604927	0,9657263	0,5781544	0,6324403	0,3719627	0,3868995	0,6516650	0,9725256	0,7041670	0,8944745	0,7617889	0,8164085	0,6833891	0,0691593	0,8467595	0,7639442	0,7992886	0,1389431	0,1378090	0,0976635	0,8931823	0,6678516	0,2820329	0,9348947	0,7608395	0,9335117	0,3703230	0,5271301	0,5954409
980	0,3955999	0,9637006	0,5938900	0,1798958	0,9102519	0,5968104	0,6518170	0,3534732	0,4050922	0,7066349	0,8733976	0,6845111	0,8453407	0,7016352	0,7557705	0,6771534	0,0815993	0,8857831	0,7599498	0,7866198	0,1457835	0,1146094	0,1059642	0,9189356	0,6197523	0,2624205	0,8027611	0,8258535	0,9781512	0,4237545	0,5547413	0,6210918
1000	0,3913300	0,9065234	0,5935657	0,1667062	0,9637250	0,6004746	0,6763080	0,3875312	0,3589410	0,7158055	0,9404164	0,6998350	0,9195293	0,7020230	0,8250588	0,7088505	0,0778223	0,8930952	0,7498654	0,7033758	0,1495675	0,1393188	0,1200374	0,8859051	0,6535757	0,2785111	0,7915095	0,7512095	0,9941965	0,4204593	0,5494862	0,6154461
1020	0,3515887	0,9315418	0,5668360	0,1505641	1,0232784	0,6319980	0,6937053	0,3629987	0,3355944	0,7061154	0,9512702	0,6988725	0,9147855	0,6970859	0,7946521	0,6517480	0,0793633	0,9143390	0,7701135	0,7105388	0,1459893	0,1659126	0,1185136	0,8184715	0,6211314	0,2736557	0,8379331	0,7087532	0,8764992	0,4165824	0,5667688	0,6607064
1040	0,3618592	0,8879170	0,5523919	0,1564792	1,1283056	0,6329681	0,7085303	0,3967993	0,3430212	0,7206865	0,9081784	0,6714038	0,9602497	0,7048313	0,8530460	0,7105731	0,0862965	0,9182288	0,7743762	0,7220963	0,1418219	0,1929137	0,1285601	0,7693859	0,6400426	0,2382813	0,7777672	0,7751934	0,8694492	0,3496679	0,5756474	0,5975521
1060	0,3742548	0,9390814	0,5200324	0,1861230	1,0759068	0,6600633	0,6452015	0,3550674	0,3601901	0,7900522	0,9464188	0,7206267	0,9500738	0,7082302	0,8306174	0,7082606	0,0781780	0,8958526	0,7536438	0,7363756	0,1124681	0,1832759	0,1283366	0,7759716	0,6322216	0,2153435	0,8056789	0,7345209	0,8576647	0,4166918	0,6271117	0,5799446
1080	0,3751112	1,0005489	0,4782418	0,1806529	1,0466306	0,6122055	0,6330019	0,3561031	0,3824577	0,7530001	0,9469310	0,7245381	0,9347898	0,7272108	0,8652248	0,7104114	0,0657297	0,8852547	0,7876526	0,7280637	0,1323532	0,1814081	0,1147195	0,8899659	0,5989951	0,2394961	0,8457105	0,7146888	0,8390827	0,4425583	0,5795120	0,5554418
