"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
460	0,5083769	0,3555285	0,2762344	0,4362417	0,2215269	0,1865817	0,0875431	0,2453202	0,6190417	0,7068957	0,0678381	0,1853717	0,6580729	0,0674236	0,3915358	0,1881379	0,3367411	0,2423789	0,9339362	0,9982249	0,7804028	0,3850979	0,6819331	0,2970132	0,9482224	0,7737100	0,9507472	0,1336946	0,3915362	0,5982029	0,1870966	0,5239266
480	0,5080575	0,3553697	0,2791645	0,4329513	0,2215269	0,1867397	0,0875431	0,2453201	0,6190485	0,7068890	0,0678181	0,1854263	0,6581214	0,0673027	0,3915436	0,1858909	0,3364719	0,2413639	0,9320308	0,9982502	0,7804025	0,3897557	0,6843652	0,2966597	0,9483494	0,7636432	0,9470744	0,1334302	0,3901195	0,5991756	0,1867244	0,5239245
500	0,5078422	0,3552729	0,2815016	0,4302296	0,2215269	0,1868464	0,0875431	0,2453200	0,6190504	0,7068830	0,0678066	0,1854625	0,6581576	0,0672216	0,3915484	0,1840663	0,3362939	0,2405051	0,9303583	0,9982658	0,7804023	0,3932712	0,6861490	0,2964253	0,9484386	0,7550452	0,9437327	0,1332005	0,3890120	0,5999305	0,1864535	0,5239234
520	0,5076973	0,3552156	0,2833464	0,4280114	0,2215269	0,1869186	0,0875430	0,2453200	0,6190499	0,7068784	0,0677998	0,1854861	0,6581839	0,0671674	0,3915514	0,1825978	0,3361764	0,2397892	0,9289175	0,9982754	0,7804022	0,3958937	0,6874376	0,2962697	0,9485011	0,7478485	0,9407579	0,1329991	0,3881561	0,6005103	0,1862565	0,5239226
540	0,5075999	0,3551825	0,2847893	0,4262268	0,2215269	0,1869677	0,0875430	0,2453200	0,6190484	0,7068753	0,0677959	0,1855013	0,6582028	0,0671314	0,3915533	0,1814246	0,3360991	0,2392005	0,9276967	0,9982813	0,7804021	0,3978301	0,6883562	0,2961663	0,9485450	0,7419273	0,9381609	0,1328221	0,3875011	0,6009514	0,1861133	0,5239218
560	0,5075343	0,3551634	0,2859087	0,4248071	0,2215269	0,1870009	0,0875430	0,2453200	0,6190468	0,7068734	0,0677935	0,1855110	0,6582162	0,0671074	0,3915544	0,1804929	0,3360481	0,2387219	0,9266776	0,9982849	0,7804021	0,3992473	0,6890031	0,2960975	0,9485759	0,7371271	0,9359331	0,1326672	0,3870040	0,6012844	0,1860093	0,5239211
580	0,5075378	0,3551523	0,2931025	0,4235996	0,2215269	0,2009023	0,0886623	0,3109207	0,6190535	0,7068730	0,0686749	0,1855172	0,6554423	0,0670985	0,3600464	0,1795064	0,3172173	0,2953815	0,9257826	0,9102400	0,7804020	0,4002760	0,6894537	0,2961053	0,8721947	0,7057354	0,9339463	0,1878483	0,3864549	0,6210468	0,1851923	0,5239296
600	0,5091387	0,3551516	0,3071148	0,4218398	0,2215269	0,2231440	0,0976272	0,4113275	0,6193313	0,7068922	0,0818178	0,1855205	0,6508050	0,0673486	0,3010691	0,1766847	0,2817249	0,3581444	0,9245393	0,7441247	0,7804025	0,4009452	0,6897246	0,2979901	0,7287923	0,6633996	0,9313022	0,3002658	0,3846751	0,6610514	0,1839015	0,5242465
620	0,5173408	0,3552283	0,3224454	0,4187674	0,2215269	0,2383920	0,1157144	0,4832677	0,6208271	0,7069570	0,1382916	0,1855138	0,6477278	0,0689273	0,2427698	0,1709669	0,2513892	0,3980954	0,9224246	0,5787088	0,7804058	0,4005263	0,6894142	0,3086842	0,5858155	0,6219256	0,9269332	0,4223342	0,3811085	0,7044585	0,1841880	0,5259996
640	0,5351176	0,3556048	0,3356702	0,4143554	0,2215269	0,2437478	0,1363298	0,5213809	0,6244106	0,7069794	0,2556605	0,1854662	0,6482364	0,0734364	0,1947585	0,1632262	0,2397963	0,4211013	0,9193259	0,4417065	0,7804170	0,3966158	0,6871971	0,3352180	0,4668082	0,5814748	0,9204909	0,5328609	0,3764247	0,7434512	0,1879525	0,5304092
660	0,5598142	0,3565878	0,3444641	0,4091697	0,2215269	0,2411161	0,1534780	0,5368295	0,6299037	0,7067700	0,4037940	0,1853171	0,6530277	0,0818475	0,1586541	0,1550412	0,2503187	0,4336155	0,9155352	0,3381789	0,7804420	0,3862428	0,6813737	0,3768033	0,3763519	0,5446416	0,9124258	0,6240575	0,3716001	0,7747960	0,1955903	0,5375983
680	0,5866052	0,3583618	0,3476810	0,4040330	0,2215269	0,2335393	0,1650606	0,5406826	0,6362475	0,7061919	0,5432390	0,1849965	0,6612192	0,0937520	0,1330081	0,1478238	0,2770624	0,4402252	0,9116029	0,2642251	0,7804833	0,3682360	0,6711155	0,4261098	0,3113252	0,5149963	0,9037869	0,6947475	0,3674351	0,7977058	0,2060924	0,5465039
700	0,6117056	0,3608741	0,3454125	0,3997395	0,2215269	0,2238691	0,1716945	0,5399892	0,6422547	0,7052510	0,6543132	0,1844596	0,6709637	0,1076511	0,1155043	0,1425167	0,3112037	0,4439654	0,9081526	0,2133685	0,7805382	0,3439744	0,6569668	0,4751659	0,2662031	0,4952106	0,8958873	0,7468590	0,3644483	0,8127696	0,2179274	0,5556379
