"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
700	0,5106490	0,3828108	0,3455422	0,4598224	0,2203948	0,2513191	0,1928707	0,4972160	0,5704076	0,7061148	0,5375194	0,2243271	0,6222828	0,0933365	0,0833631	0,1575577	0,3338899	0,5209551	0,9370881	0,2013645	0,7625637	0,3981040	0,7346651	0,4822969	0,2392134	0,6268812	0,8957677	0,7990471	0,3434511	0,7710591	0,3524745	0,5831706
720	0,5508704	0,4013902	0,3724993	0,4522395	0,1923544	0,2333885	0,1713075	0,5186583	0,6355015	0,7623755	0,7221443	0,2022591	0,6600764	0,1279975	0,0722675	0,1581691	0,3507846	0,5126174	0,9466120	0,1325404	0,7852469	0,3798050	0,6229424	0,4654270	0,2278856	0,6002485	0,8700353	0,8259841	0,3741089	0,8230825	0,3683780	0,6217788
740	0,5977500	0,4186684	0,3706924	0,4285472	0,2218699	0,2138338	0,1654789	0,5439713	0,6457045	0,7470195	0,7146765	0,1902265	0,6489905	0,1415776	0,0814212	0,1781783	0,3967128	0,4662835	0,9382880	0,1280448	0,7655036	0,4291508	0,6143230	0,4914265	0,2112392	0,5555742	0,8604587	0,8835175	0,3615464	0,8220983	0,3494959	0,6127446
760	0,6558053	0,3612602	0,3761941	0,4166129	0,2261788	0,2037884	0,1667099	0,5529662	0,6274124	0,7870499	0,8139091	0,2165731	0,6952050	0,1197019	0,0758328	0,1837374	0,4099175	0,4603263	0,9194202	0,1080167	0,7642110	0,3416872	0,5492984	0,5021405	0,1877933	0,3874509	0,9120903	0,8896767	0,3540661	0,8309537	0,3248808	0,5488288
780	0,6420814	0,3481360	0,3792526	0,3834422	0,1961461	0,1975937	0,1789189	0,5181697	0,6573417	0,7710453	0,8342289	0,1844625	0,7542729	0,1142357	0,0773036	0,1812836	0,4049704	0,4617961	0,8569774	0,0906097	0,7841441	0,3737948	0,5769995	0,4960790	0,1781419	0,5015648	0,9046828	0,8342950	0,3615219	0,8243987	0,3243877	0,6054539
800	0,6906312	0,3484408	0,3437056	0,3438150	0,1929781	0,1755815	0,1978321	0,5049764	0,6703050	0,7656719	0,8486070	0,2139736	0,7462205	0,1099970	0,0566220	0,1386281	0,4423431	0,4539563	0,7664621	0,0850634	0,8003292	0,3357709	0,6275461	0,6006306	0,1560958	0,3965433	0,8651405	0,7933496	0,3715971	0,7910683	0,3371001	0,6045127
820	0,6840467	0,3586407	0,3200723	0,3391161	0,2636634	0,1763642	0,1734022	0,5332171	0,6255434	0,7357612	0,8756326	0,2020171	0,7628216	0,1242231	0,0482944	0,1355072	0,4405528	0,4347487	0,8230125	0,1025814	0,7959822	0,2616408	0,5859189	0,7019521	0,1860510	0,3768234	0,7975359	0,8264564	0,3512243	0,7975496	0,3299079	0,5610079
840	0,6894933	0,3835305	0,2975678	0,3537928	0,2985656	0,2062628	0,1663245	0,5728564	0,5662003	0,7973577	0,8802382	0,1947598	0,7017627	0,1296237	0,0725354	0,1294791	0,4487137	0,4825927	0,8503653	0,1437340	0,8157208	0,2531990	0,5861962	0,6839680	0,1552032	0,4308481	0,8529080	0,7705700	0,3931025	0,7749597	0,3168999	0,6162920
860	0,7130993	0,4068590	0,2764309	0,3929733	0,2606984	0,1838751	0,1829421	0,5350779	0,5892217	0,8025539	0,8472736	0,2214997	0,6780317	0,1117323	0,0824510	0,1619128	0,4846190	0,5377969	0,8687834	0,1249890	0,7762416	0,2562484	0,5556834	0,6520003	0,1469689	0,4873368	0,8932978	0,7725422	0,4346233	0,7920303	0,3079479	0,6251474
880	0,7032308	0,4281507	0,2698079	0,3717766	0,2305643	0,1341522	0,1811723	0,5694855	0,5846248	0,7674319	0,9783793	0,2213287	0,6846688	0,1373530	0,0755249	0,1470712	0,4708009	0,5204510	0,8617477	0,1587578	0,7879266	0,2393569	0,5392494	0,6846460	0,1556465	0,5030022	0,9611750	0,8506122	0,3715873	0,7943804	0,3610562	0,6117065
