"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
460	0,5077847	0,3549807	0,2861180	0,4299563	0,2215269	0,1869284	0,0875432	0,2453199	0,6190591	0,7068872	0,0678094	0,1855422	0,6581476	0,0671116	0,3915524	0,1824704	0,3359910	0,2400464	0,9307669	0,9982864	0,7804019	0,3937689	0,6865375	0,2963659	0,9484286	0,7674947	0,9419222	0,1331515	0,3884185	0,6003766	0,1859919	0,5239211
480	0,5076582	0,3550306	0,2870916	0,4277108	0,2215269	0,1869731	0,0875431	0,2453199	0,6190550	0,7068805	0,0678016	0,1855403	0,6581779	0,0670931	0,3915539	0,1812658	0,3359755	0,2393746	0,9292212	0,9982881	0,7804019	0,3963406	0,6877678	0,2962305	0,9484941	0,7582765	0,9389513	0,1329620	0,3876672	0,6008721	0,1859199	0,5239220
500	0,5075733	0,3550697	0,2877888	0,4259293	0,2215269	0,1870043	0,0875430	0,2453200	0,6190510	0,7068760	0,0677969	0,1855373	0,6581992	0,0670814	0,3915548	0,1803292	0,3359661	0,2388354	0,9279165	0,9982892	0,7804019	0,3982095	0,6886241	0,2961405	0,9485401	0,7505113	0,9364264	0,1327912	0,3871070	0,6012397	0,1858682	0,5239218
520	0,5075164	0,3550970	0,2882845	0,4245311	0,2215269	0,1870258	0,0875430	0,2453200	0,6190479	0,7068734	0,0677942	0,1855345	0,6582139	0,0670739	0,3915554	0,1796023	0,3359603	0,2384075	0,9268325	0,9982898	0,7804019	0,3995570	0,6892127	0,2960805	0,9485724	0,7440886	0,9343207	0,1326395	0,3866918	0,6015107	0,1858309	0,5239211
540	0,5074782	0,3551143	0,2886347	0,4234438	0,2215269	0,1870404	0,0875430	0,2453200	0,6190457	0,7068721	0,0677925	0,1855323	0,6582241	0,0670692	0,3915557	0,1790392	0,3359568	0,2380711	0,9259441	0,9982902	0,7804019	0,4005219	0,6896131	0,2960405	0,9485951	0,7388586	0,9325931	0,1325066	0,3863855	0,6017094	0,1858041	0,5239205
560	0,5074525	0,3551241	0,2888808	0,4226049	0,2215269	0,1870501	0,0875430	0,2453200	0,6190443	0,7068715	0,0677915	0,1855307	0,6582312	0,0670661	0,3915559	0,1786037	0,3359546	0,2378091	0,9252249	0,9982904	0,7804019	0,4012090	0,6898832	0,2960138	0,9486110	0,7346563	0,9311962	0,1323919	0,3861605	0,6018543	0,1857848	0,5239199
580	0,5078784	0,3551297	0,3288420	0,4213081	0,2215269	0,2409531	0,0971148	0,4514182	0,6191247	0,7068768	0,0724821	0,1855297	0,6494384	0,0671527	0,2711565	0,1759908	0,2449889	0,4500932	0,9242775	0,6273242	0,7804021	0,4016891	0,6900606	0,2964879	0,6988326	0,6814880	0,9290913	0,3686627	0,3846226	0,6879728	0,1818093	0,5240171
600	0,5152039	0,3551944	0,3536429	0,4177345	0,2215269	0,2592773	0,1289829	0,5359979	0,6204869	0,7069482	0,1134247	0,1855228	0,6450321	0,0687517	0,1968856	0,1668878	0,1999030	0,4664053	0,9219934	0,4097260	0,7804060	0,4015562	0,6899168	0,3051688	0,5242941	0,6393305	0,9234965	0,5335228	0,3793581	0,7473645	0,1816336	0,5256666
620	0,5372789	0,3557128	0,3671389	0,4121239	0,2215269	0,2568636	0,1610635	0,5575975	0,6249642	0,7070494	0,2359995	0,1854642	0,6456681	0,0748629	0,1512296	0,1550322	0,2000495	0,4624584	0,9183033	0,2829570	0,7804228	0,3978626	0,6878276	0,3356468	0,4042612	0,5982296	0,9144142	0,6479828	0,3727094	0,7877231	0,1887940	0,5312892
640	0,5688507	0,3573423	0,3699317	0,4057396	0,2215269	0,2453477	0,1793182	0,5555491	0,6322314	0,7069001	0,4108765	0,1852442	0,6518339	0,0870727	0,1234314	0,1444262	0,2394554	0,4569353	0,9137990	0,2100927	0,7804637	0,3856499	0,6810249	0,3876777	0,3238055	0,5588982	0,9034198	0,7261963	0,3668083	0,8137087	0,2026550	0,5410035
660	0,6004519	0,3603446	0,3629107	0,3998926	0,2215269	0,2309362	0,1851771	0,5480790	0,6401821	0,7062747	0,5685546	0,1847404	0,6621277	0,1038611	0,1067900	0,1369906	0,2961620	0,4526372	0,9093098	0,1689170	0,7805319	0,3630705	0,6682535	0,4472230	0,2712231	0,5251953	0,8926429	0,7780343	0,3625804	0,8285285	0,2192785	0,5524939
680	0,6270950	0,3643310	0,3487952	0,3955767	0,2215269	0,2171502	0,1845795	0,5417137	0,6468950	0,7051900	0,6835201	0,1839036	0,6737548	0,1218552	0,0970175	0,1332571	0,3497955	0,4503888	0,9056505	0,1459938	0,7806164	0,3331437	0,6508380	0,5016980	0,2373595	0,5005899	0,8841677	0,8108620	0,3603076	0,8349790	0,2351629	0,5631446
700	0,6476447	0,3685977	0,3310788	0,3933496	0,2215269	0,2058813	0,1819418	0,5378123	0,6515271	0,7038420	0,7594565	0,1827925	0,6842693	0,1380686	0,0913517	0,1330000	0,3916141	0,4503685	0,9034127	0,1333343	0,7806995	0,3008266	0,6313738	0,5455680	0,2155395	0,4869620	0,8794745	0,8304005	0,3599561	0,8356395	0,2484767	0,5714549
720	0,6626753	0,3725171	0,3127307	0,3933549	0,2215269	0,1977622	0,1794003	0,5359153	0,6541415	0,7024648	0,8068204	0,1815420	0,6924475	0,1509666	0,0880675	0,1355673	0,4207722	0,4523273	0,9028529	0,1263308	0,7807681	0,2701569	0,6122119	0,5781811	0,2012739	0,4846854	0,8791255	0,8410887	0,3612853	0,8327198	0,2586957	0,5771222
740	0,6732783	0,3757170	0,2956888	0,3954197	0,2215269	0,1925585	0,1776268	0,5352197	0,6552428	0,7012365	0,8351398	0,1803028	0,6981273	0,1603228	0,0861390	0,1400833	0,4395412	0,4557753	0,9039054	0,1224095	0,7808173	0,2433779	0,5948398	0,6010881	0,1917296	0,4930133	0,8827990	0,8462751	0,3638922	0,8279304	0,2660282	0,5805526
760	0,6805623	0,3780807	0,2809351	0,3991730	0,2215269	0,1895850	0,1766126	0,5350956	0,6554142	0,7002499	0,8514731	0,1791930	0,7017196	0,1666512	0,0849818	0,1456268	0,4508238	0,4601529	0,9062777	0,1201698	0,7808489	0,2212590	0,5799358	0,6164868	0,1851860	0,5103370	0,8895661	0,8483763	0,3672758	0,8224688	0,2710009	0,5823889
780	0,6854709	0,3796678	0,2687744	0,4041492	0,2215269	0,1880596	0,1761323	0,5351737	0,6551313	0,6995254	0,8605975	0,1782785	0,7038073	0,1707107	0,0842710	0,1513955	0,4571718	0,4649469	0,9095699	0,1188607	0,7808673	0,2036789	0,5676392	0,6264838	0,1806099	0,5343766	0,8982455	0,8490359	0,3709359	0,8170904	0,2742091	0,5832310
