"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
520	0,5079429	0,7127601	0,6347127	0,6756811	0,6888291	0,1299871	0,7262348	0,3954713	0,5877869	0,7264336	0,0539908	0,6531506	0,1885884	0,5492832	0,7919063	0,8008897	0,2913260	0,5527233	0,5895665	0,1786114	0,2983926	0,2829730	0,3115250	0,8223027	0,5894136	0,7139693	0,3681051	0,6214110	0,6850551	0,5610811	0,6717642	0,3360020
540	0,4399041	0,7384982	0,5584198	0,6973205	0,6261610	0,1620385	0,5858307	0,5049531	0,7066813	0,7095694	0,0434671	0,6775702	0,2270607	0,5238374	0,7402805	0,6341178	0,2867952	0,4646513	0,6434621	0,1974054	0,2358191	0,3078358	0,4069459	0,7409075	0,6279081	0,7270663	0,3444445	0,7871144	0,6724111	0,7213809	0,6657635	0,3322531
560	0,4191526	0,6581551	0,7016116	0,7801697	0,6519986	0,1289020	0,7120720	0,5556729	0,5718058	0,7512422	0,0925659	0,7879125	0,2464158	0,4838796	0,8099014	0,8694136	0,2424076	0,6443813	0,7404078	0,2372595	0,2854151	0,3803916	0,4404411	0,6266714	0,5122200	0,7736102	0,3487341	0,5850797	0,6435128	0,5458186	0,7119210	0,3342357
580	0,4261672	0,7637794	0,6023216	0,7739483	0,6643051	0,1803806	0,6174981	0,4256505	0,7509230	0,8172188	0,0445904	0,5786696	0,2337808	0,4291901	0,8486992	0,6897167	0,2339247	0,8114034	0,6903866	0,2473805	0,2978252	0,2795507	0,3748212	0,6102658	0,6608876	0,6823144	0,3498778	0,6714101	0,5682506	0,5069837	0,6963828	0,4096170
600	0,4553877	0,7614143	0,5472501	0,7937946	0,7910224	0,1612050	0,5971955	0,4772668	0,5921188	0,6787590	0,1016791	0,7427546	0,2093864	0,4344045	0,7113873	0,6837805	0,2615008	0,4845958	0,7219868	0,1869237	0,3460297	0,3168874	0,3072299	0,6644521	0,6265714	0,6328774	0,3775154	0,6513188	0,5844699	0,6403212	0,7965155	0,4569373
620	0,3674505	0,7067209	0,5745110	0,6935000	0,6206449	0,2199769	0,6582872	0,4950717	0,5611006	0,7158851	0,0456943	0,7824354	0,1876528	0,4363185	0,7072428	0,6081328	0,2682305	0,5315742	0,6270637	0,2496586	0,5298625	0,4212037	0,4148094	0,6540070	0,4718714	0,6774240	0,3350732	0,6059677	0,5494835	0,5870197	0,7544419	0,4690970
640	0,4338196	0,8264322	0,6026333	0,7482379	0,7978969	0,1688552	0,6450639	0,5779804	0,5998296	0,8938627	0,0630980	0,6944001	0,1653099	0,3501496	0,6098807	0,7740255	0,2590779	0,5707604	0,5339241	0,2192584	0,3890422	0,3095680	0,4363175	0,6913162	0,5385124	0,8134860	0,3236666	0,6455040	0,5327711	0,6134391	0,6012647	0,4265465
660	0,4174002	0,6677270	0,5756496	0,5998311	0,6836814	0,2589023	0,5913650	0,5575905	0,7125741	0,7970089	0,0985829	0,5421154	0,1984494	0,3947706	0,6831434	0,6183932	0,1874173	0,6045569	0,7996685	0,1702252	0,4424470	0,3530316	0,5232301	0,6274228	0,5969441	0,7175912	0,4044364	0,6981856	0,4887775	0,6505213	0,7644717	0,5699734
680	0,4482325	0,5901847	0,7576044	0,6780169	0,6920114	0,2051640	0,7232537	0,4405819	0,8203221	0,6834563	0,0660868	0,6919941	0,1221367	0,3431397	0,8050115	0,5799029	0,2648219	0,5666572	0,6098107	0,1910034	0,5035125	0,3453740	0,4791046	0,5875296	0,5637833	0,7418515	0,3610717	0,6340922	0,5176829	0,6346041	0,8125049	0,4309402
700	0,4236117	0,6430413	0,6519648	0,7738415	0,6403780	0,2888327	0,5058313	0,4633492	0,6686354	0,8696051	0,0545854	0,5819950	0,1075622	0,2844536	0,7098387	0,6547953	0,2756462	0,5094042	0,6931733	0,1708105	0,5015673	0,4005155	0,4780344	0,6523499	0,5642806	0,6030902	0,3524633	0,5297455	0,4433255	0,6155808	0,5779713	0,4250737
720	0,4444362	0,6417443	0,5891311	0,6617189	0,7514113	0,2197105	0,5110929	0,4139758	0,7633972	0,6970496	0,0824949	0,5284290	0,1403199	0,3158648	0,7336820	0,5998156	0,2642395	0,4352253	0,6826249	0,1713022	0,5536859	0,3322331	0,4606481	0,6229843	0,4668220	0,7599511	0,3547542	0,6169853	0,4514119	0,5838838	0,7136842	0,4171122
740	0,4918270	0,6722122	0,6003140	0,6890185	0,7525155	0,2562860	0,4848084	0,4752606	0,7444916	0,7225141	0,0800282	0,5853307	0,1457701	0,2889131	0,8371380	0,6088297	0,2037670	0,3707469	0,7211520	0,2183832	0,5515706	0,2754845	0,3881303	0,7598756	0,5307342	0,7815762	0,2830487	0,7117510	0,4157958	0,5965963	0,6876455	0,3381318
760	0,5140824	0,6261963	0,6404610	0,5815039	0,6457207	0,1772742	0,6540509	0,4213320	0,7623734	0,6765843	0,0647272	0,6204519	0,1281314	0,1851211	0,7459928	0,7178113	0,2018226	0,4974677	0,6192357	0,2485565	0,5888644	0,2600166	0,3978294	0,6409670	0,3935172	0,7726719	0,3681119	0,5805216	0,4635138	0,5301415	0,6789361	0,5051435
780	0,4763189	0,5913404	0,6314489	0,6994547	0,6823555	0,2026669	0,4152085	0,6440674	0,7786739	0,6794823	0,0488140	0,6602930	0,1766019	0,2583571	0,6623643	0,5794224	0,2245121	0,6087652	0,6066241	0,3000586	0,5240365	0,2650153	0,3922637	0,6992178	0,3811802	0,6134618	0,3051190	0,6088542	0,4386219	0,5746010	0,7540850	0,3329943
800	0,4148916	0,6446325	0,6601235	0,6167405	0,7816791	0,2072335	0,5039724	0,5417076	0,6843994	0,7324134	0,0599513	0,7043405	0,1887405	0,2099190	0,7538179	0,6960192	0,2580275	0,6127881	0,5162270	0,2328926	0,4428715	0,2469951	0,3726160	0,8493007	0,4418632	0,7498192	0,2903311	0,6448446	0,4432522	0,4767099	0,6561351	0,4436200
820	0,4613905	0,6369898	0,6198589	0,6371424	0,8812099	0,2148165	0,4554553	0,4399013	0,6193293	0,8092233	0,0447787	0,6883425	0,1607702	0,2259821	0,6935179	0,6938453	0,1948647	0,4283954	0,6426499	0,2962899	0,4895074	0,1644805	0,4272482	0,7626627	0,5699520	0,6434368	0,3471821	0,6462644	0,3532939	0,5842972	0,7262700	0,5353922
840	0,4425052	0,7676927	0,5785007	0,6069927	0,6709968	0,1677842	0,4946248	0,4676544	0,6406400	0,6505669	0,0768109	0,6287834	0,1869855	0,2258457	0,7776651	0,6277007	0,2196215	0,5486986	0,4736079	0,1847551	0,4655652	0,3149439	0,4112468	0,7142311	0,5955921	0,6687646	0,3974305	0,6236431	0,3085694	0,5829159	0,8919933	0,3736268
