"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
480	0,4834298	0,2417384	0,5332931	0,6433049	0,8030847	0,9426563	0,8132045	0,5168114	0,6669653	0,7262385	0,9987083	0,9022498	0,9350703	1,0604669	0,8765918	0,6159935	0,4070522	0,5996652	0,0606055	0,2643022	0,6388615	0,4868983	0,0135148	0,1384938	0,5569830	0,1627018	0,7036436	0,2302126	0,1263714	1,0141564	0,7866128	0,1073201
500	0,4319020	0,2390909	0,5071968	0,7206588	0,8513317	0,9151960	0,7315800	0,5409470	0,6604869	0,6577309	0,9132820	0,8664558	0,9569808	1,1100561	0,8808754	0,5664102	0,4186556	0,5885258	0,0616953	0,2835909	0,6763899	0,4924330	0,0118405	0,1612033	0,5810447	0,1699552	0,6111055	0,2313288	0,1256862	1,0335214	0,8076104	0,0988842
520	0,4200622	0,2284126	0,4610042	0,6932939	0,8333571	0,8275866	0,7803011	0,5932618	0,6409778	0,6269123	0,8935860	0,8397014	0,9384505	1,0565480	0,9391867	0,5394485	0,4339133	0,6646193	0,0699009	0,3070089	0,6256730	0,4914656	0,0120131	0,1616817	0,5840456	0,1778147	0,6206787	0,2207229	0,1143036	1,0112497	0,8359252	0,1076679
540	0,4262349	0,2101503	0,4621061	0,6496490	0,8060548	0,8440018	0,8535108	0,5671355	0,6114044	0,6409757	0,9350053	0,7920153	0,8953160	1,0102277	0,8633320	0,5927139	0,4218740	0,6449501	0,0618689	0,2935829	0,6774532	0,4304738	0,0091874	0,1884398	0,5936276	0,1826269	0,6242205	0,2111536	0,1170501	1,0440742	0,8646935	0,1013294
560	0,5083627	0,2085804	0,4155630	0,6520532	0,7039793	0,8249972	0,8584534	0,5906406	0,6682085	0,6724644	0,9417761	0,8011094	0,8660815	1,0637684	0,8642266	0,5731080	0,4018313	0,6461100	0,0554692	0,3060672	0,6938646	0,4280170	0,0101339	0,1745094	0,6086122	0,1589161	0,6886665	0,2251533	0,1550100	0,9863400	0,8720528	0,1204523
580	0,5021369	0,1716584	0,4278638	0,6327615	0,6797821	0,9170330	0,8317364	0,7032234	0,6030169	0,7479155	0,9087907	0,7979811	0,8109223	0,9894061	0,8173407	0,5333024	0,3620440	0,4567550	0,3870912	0,3336844	0,5776423	0,3960169	0,0092161	0,1483698	0,6472068	0,3069621	0,7124715	0,2211260	0,1571816	0,8992611	0,8756644	0,5511265
600	0,4682473	0,1330713	0,4581649	0,6020096	0,6619114	1,0274397	0,8345940	0,7631012	0,6041949	0,8386350	0,8865797	0,7309342	0,7170956	0,9989317	0,8363944	0,5225828	0,3141379	0,3180664	0,6088848	0,3040881	0,5426685	0,4052541	0,0159619	0,1094931	0,6240109	0,3836320	0,7381251	0,2423784	0,1564725	0,9545320	0,8647175	0,7802593
620	0,4998108	0,1618367	0,5380562	0,6178811	0,6662881	1,0602704	0,8226462	0,8743366	0,5346253	0,8470775	0,9216246	0,7390511	0,6414598	1,0307599	0,7762404	0,4985584	0,3273972	0,2312363	0,7491239	0,2932221	0,4891593	0,3855296	0,0184776	0,1219876	0,5879869	0,3927445	0,7059274	0,2916794	0,1744122	0,9424148	0,8521101	0,8605772
640	0,5372217	0,1493377	0,5042631	0,5919494	0,7275460	0,9751852	0,8420739	0,8195030	0,5124517	0,8106950	0,9832126	0,7364472	0,6427209	1,0614181	0,7383064	0,5221176	0,3754878	0,1659577	0,8416492	0,3257040	0,4660856	0,4015967	0,0108914	0,1736931	0,5925069	0,4075227	0,7209256	0,2971587	0,1869435	0,9317349	0,8484718	0,9589465
660	0,5308432	0,1449879	0,4811063	0,6284685	0,7766577	0,9223131	0,8483189	0,7958410	0,4601292	0,8491033	0,9729235	0,7778147	0,6551181	1,0923762	0,7697264	0,5518828	0,3218469	0,1274120	0,8729443	0,2903533	0,4045349	0,4036930	0,0104166	0,1379805	0,5853934	0,4110024	0,7013406	0,3171483	0,2012463	0,9813226	0,7972478	0,9185105
680	0,5562910	0,1571738	0,4484301	0,6117251	0,8071766	0,9266065	0,8905900	0,7663401	0,4542832	0,8472917	1,0562132	0,8130115	0,6550043	1,0614405	0,8448823	0,5806219	0,3471546	0,0953578	0,9626585	0,2752577	0,4264645	0,3627177	0,0128344	0,1569498	0,5753039	0,4487612	0,7379916	0,3766059	0,2241907	0,9106611	0,8069662	0,9677281
700	0,5322568	0,1933408	0,4598584	0,6421554	0,8578272	0,9601980	0,8577196	0,7842452	0,4681152	0,8408414	1,0207134	0,8587655	0,6638110	1,0438092	0,8597437	0,5771269	0,3351229	0,0860868	0,9591613	0,3028126	0,4151421	0,3940186	0,0125561	0,1589993	0,5140598	0,4613302	0,7604098	0,3440278	0,2524138	0,9467312	0,8093323	0,9666261
720	0,5003188	0,1925891	0,4419321	0,6196416	0,8692507	1,0290422	0,7558022	0,8028810	0,4290551	0,9370239	1,0683299	0,8983553	0,6859021	1,0465221	0,8446491	0,6030211	0,3902414	0,0826488	0,9154582	0,2883924	0,4685227	0,4822758	0,0065607	0,1765952	0,5229099	0,4927092	0,7692418	0,4229444	0,2363587	0,9486852	0,7150337	1,0211399
740	0,4963963	0,2085456	0,5156875	0,5907060	0,8797798	0,9596760	0,8454294	0,8169489	0,4281895	0,9225840	1,0901992	0,8628435	0,6938898	1,0481204	0,8744614	0,6072647	0,3960339	0,0780891	0,9462325	0,2861079	0,4518605	0,4751103	0,0113736	0,1429976	0,5138294	0,5337867	0,7780032	0,4458588	0,2413858	0,9433944	0,7270726	0,9898258
760	0,4681177	0,1883704	0,4760348	0,5811128	0,8355085	1,0316522	0,8145208	0,7704305	0,4525717	1,0241382	1,1234898	0,8882454	0,6889936	1,1264257	0,8753504	0,6786166	0,4167071	0,0680177	0,9403651	0,3101145	0,4663146	0,4818831	0,0049227	0,1244469	0,5207285	0,5106128	0,7774794	0,4959503	0,2926842	0,9569153	0,7272081	1,0107143
780	0,4750323	0,2470434	0,4588328	0,5692158	0,7907577	1,0677740	0,8005418	0,7611144	0,3622473	0,9224585	1,0952405	0,9648776	0,6734836	1,0808875	0,8804675	0,6656350	0,4295269	0,0693794	0,9098089	0,2819842	0,4657350	0,4628864	0,0109055	0,1903314	0,5926359	0,4813063	0,7761555	0,4796713	0,3132261	0,9876387	0,6992817	0,9201793
800	0,4721526	0,2304479	0,4413900	0,5666425	0,7847483	1,0401238	0,7880851	0,7309943	0,3843339	0,8068237	1,1239956	0,9485016	0,6196045	1,1124341	0,9026364	0,6008891	0,4445998	0,0569224	0,8462391	0,2926990	0,4474760	0,5038670	0,0057255	0,1584680	0,5871804	0,3961508	0,7484339	0,4344305	0,3020855	0,9892052	0,6740911	0,8958560
820	0,5236168	0,2213579	0,4593043	0,5957978	0,8338672	1,0553781	0,8325798	0,7299070	0,3833828	0,8159194	1,0512697	0,8627835	0,5980031	1,0492076	0,8869300	0,5739093	0,3936697	0,0502261	0,9167234	0,2940186	0,4354681	0,5058631	0,0152817	0,2093714	0,5556628	0,4382089	0,7587063	0,4391864	0,2908338	0,9541424	0,7592963	0,9254452
