"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
500	0,0920382	0,0436353	0,6522640	1,0000000	1,0000000	0,0070913	0,9645383	0,0471991	0,3429600	1,0000000	0,8370203	0,9770472	0,8737656	0,8181762	0,7717078	0,0293283	0,0873825	0,9678781	0,0781027	0,0158817	0,8282065	0,9451222	0,5090178	0,8100356	0,1419158	0,9678228	0,6032043	0,9977567	0,0321603	0,5392608	0,1145759	0,0041872
520	0,0920386	0,0436353	0,6522665	1,0000000	1,0000000	0,0070912	0,9645383	0,0471991	0,3429601	1,0000000	0,8370239	0,9770476	0,8737665	0,8181761	0,7717078	0,0293284	0,0873822	0,9678796	0,0781027	0,0158817	0,8282149	0,9451265	0,5090173	0,8100394	0,1419158	0,9678232	0,6032000	0,9977567	0,0321607	0,5392593	0,1145759	0,0041872
540	0,0920389	0,0436353	0,6522682	1,0000000	1,0000000	0,0070912	0,9645383	0,0471991	0,3429601	1,0000000	0,8370265	0,9770479	0,8737671	0,8181760	0,7717078	0,0293284	0,0873819	0,9678806	0,0781027	0,0158817	0,8282210	0,9451293	0,5090169	0,8100419	0,1419158	0,9678235	0,6031970	0,9977567	0,0321610	0,5392583	0,1145759	0,0041872
560	0,0920392	0,0436353	0,6522694	1,0000000	1,0000000	0,0070912	0,9645383	0,0471991	0,3429601	1,0000000	0,8370283	0,9770480	0,8737675	0,8181760	0,7717078	0,0293284	0,0873817	0,9678812	0,0781027	0,0158817	0,8282254	0,9451311	0,5090166	0,8100434	0,1419158	0,9678237	0,6031949	0,9977567	0,0321613	0,5392576	0,1145759	0,0041872
580	0,0920395	0,0436353	0,6521136	1,0000000	1,0000000	0,0672558	0,9792550	0,0471991	0,3429589	1,0000000	0,7568867	0,9770325	0,8737500	0,6909625	0,7717078	0,0293284	0,0874711	0,7586498	0,0781027	0,0158817	0,8282272	0,7969865	0,5090347	0,5227284	0,1419158	0,9678237	0,4753248	0,9977568	0,0321615	0,5393748	0,1145759	0,0041872
600	0,0920397	0,0436353	0,6514021	1,0000000	1,0000000	0,1016276	0,9878642	0,0471991	0,3429532	1,0000000	0,7089252	0,9769593	0,8736646	0,6303833	0,7717078	0,0293284	0,0878299	0,6295257	0,0781027	0,0158817	0,8282039	0,6981128	0,5091205	0,3394191	0,1419158	0,9678213	0,4065124	0,9977567	0,0321617	0,5399087	0,1145761	0,0041872
620	0,0920399	0,0436353	0,6502195	1,0000000	1,0000000	0,1212642	0,9929006	0,0471991	0,3429433	1,0000000	0,6801319	0,9768323	0,8735131	0,6015773	0,7717078	0,0293284	0,0883611	0,5498388	0,0781027	0,0158817	0,8281018	0,6322726	0,5092682	0,2224663	0,1419158	0,9678118	0,3704845	0,9977565	0,0321619	0,5407978	0,1145763	0,0041872
640	0,0920400	0,0436353	0,6488269	1,0000000	1,0000000	0,1324825	0,9958469	0,0471991	0,3429311	1,0000000	0,6627146	0,9766755	0,8733221	0,5879105	0,7717078	0,0293284	0,0889297	0,5006613	0,0781027	0,0158817	0,8278779	0,5885155	0,5094486	0,1478496	0,1419158	0,9677918	0,3523575	0,9977561	0,0321621	0,5418484	0,1145765	0,0041872
660	0,0920401	0,0436353	0,6474414	1,0000000	1,0000000	0,1388914	0,9975704	0,0471991	0,3429185	1,0000000	0,6520395	0,9765119	0,8731188	0,5814490	0,7717078	0,0293284	0,0894519	0,4703122	0,0781027	0,0158817	0,8275254	0,5594851	0,5096349	0,1002435	0,1419158	0,9677614	0,3437944	0,9977553	0,0321622	0,5428973	0,1145767	0,0041872
680	0,0920403	0,0436353	0,6461923	1,0000000	1,0000000	0,1425529	0,9985787	0,0471991	0,3429067	1,0000000	0,6453726	0,9763572	0,8729230	0,5784102	0,7717078	0,0293284	0,0898916	0,4515827	0,0781027	0,0158817	0,8270698	0,5402550	0,5098089	0,0698704	0,1419158	0,9677235	0,3401898	0,9977544	0,0321623	0,5438455	0,1145769	0,0041872
700	0,0920403	0,0436353	0,6451354	1,0000000	1,0000000	0,1446446	0,9991685	0,0471991	0,3428962	1,0000000	0,6411097	0,9762204	0,8727465	0,5769927	0,7717078	0,0293284	0,0902417	0,4400242	0,0781027	0,0158817	0,8265529	0,5275349	0,5099615	0,0504922	0,1419158	0,9676820	0,3390443	0,9977532	0,0321624	0,5446487	0,1145770	0,0041872
720	0,0920404	0,0436353	0,6442799	1,0000000	1,0000000	0,1458396	0,9995136	0,0471991	0,3428875	1,0000000	0,6383118	0,9761050	0,8725945	0,5763399	0,7717078	0,0293284	0,0905103	0,4328911	0,0781027	0,0158817	0,8260178	0,5191322	0,5100893	0,0381287	0,1419158	0,9676406	0,3390327	0,9977520	0,0321625	0,5452989	0,1145771	0,0041872
740	0,0920405	0,0436353	0,6436093	1,0000000	1,0000000	0,1465223	0,9997155	0,0471991	0,3428803	1,0000000	0,6364264	0,9760109	0,8724680	0,5760453	0,7717078	0,0293284	0,0907108	0,4284890	0,0781027	0,0158817	0,8255006	0,5135885	0,5101928	0,0302407	0,1419158	0,9676019	0,3394754	0,9977509	0,0321625	0,5458079	0,1145772	0,0041872
760	0,0920406	0,0436353	0,6430962	1,0000000	1,0000000	0,1469124	0,9998335	0,0471991	0,3428747	1,0000000	0,6351254	0,9759364	0,8723656	0,5759167	0,7717078	0,0293285	0,0908576	0,4257724	0,0781027	0,0158817	0,8250261	0,5099354	0,5102746	0,0252081	0,1419158	0,9675677	0,3400406	0,9977498	0,0321626	0,5461965	0,1145773	0,0041872
780	0,0920406	0,0436353	0,6427110	1,0000000	1,0000000	0,1471352	0,9999026	0,0471991	0,3428703	1,0000000	0,6342098	0,9758785	0,8722844	0,5758637	0,7717078	0,0293285	0,0909634	0,4240959	0,0781027	0,0158817	0,8246083	0,5075311	0,5103380	0,0219973	0,1419158	0,9675385	0,3405798	0,9977488	0,0321626	0,5464872	0,1145773	0,0041873
800	0,0920406	0,0436353	0,6424263	1,0000000	1,0000000	0,1472625	0,9999430	0,0471991	0,3428669	1,0000000	0,6335558	0,9758344	0,8722211	0,5758444	0,7717078	0,0293285	0,0910388	0,4230614	0,0781027	0,0158817	0,8242525	0,5059504	0,5103862	0,0199487	0,1419158	0,9675146	0,3410370	0,9977479	0,0321627	0,5467013	0,1145773	0,0041873
820	0,0920407	0,0436353	0,6422183	1,0000000	1,0000000	0,1473352	0,9999667	0,0471991	0,3428644	1,0000000	0,6330839	0,9758013	0,8721724	0,5758393	0,7717078	0,0293285	0,0910920	0,4224229	0,0781027	0,0158817	0,8239577	0,5049124	0,5104225	0,0186417	0,1419158	0,9674954	0,3414008	0,9977472	0,0321627	0,5468570	0,1145773	0,0041873
840	0,0920407	0,0436353	0,6420680	1,0000000	1,0000000	0,1473768	0,9999805	0,0471991	0,3428625	1,0000000	0,6327415	0,9757767	0,8721354	0,5758397	0,7717078	0,0293285	0,0911293	0,4220289	0,0781027	0,0158817	0,8237189	0,5042315	0,5104495	0,0178079	0,1419158	0,9674804	0,3416791	0,9977466	0,0321627	0,5469690	0,1145774	0,0041873
860	0,0920407	0,0436353	0,6419603	1,0000000	1,0000000	0,1474005	0,9999886	0,0471991	0,3428611	1,0000000	0,6324924	0,9757587	0,8721076	0,5758419	0,7717078	0,0293285	0,0911553	0,4217858	0,0781027	0,0158817	0,8235292	0,5037854	0,5104693	0,0172758	0,1419158	0,9674689	0,3418864	0,9977461	0,0321628	0,5470489	0,1145774	0,0041873
880	0,0920408	0,0436353	0,6418837	1,0000000	1,0000000	0,1474141	0,9999933	0,0471991	0,3428601	1,0000000	0,6323112	0,9757456	0,8720868	0,5758444	0,7717078	0,0293285	0,0911734	0,4216358	0,0781027	0,0158817	0,8233808	0,5034935	0,5104838	0,0169364	0,1419158	0,9674602	0,3420377	0,9977457	0,0321628	0,5471055	0,1145774	0,0041873
