"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
500	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427317	0,7068144	0,0508540	0,0271144	0,3480164	0,0680696	0,1467017	0,1462585	0,5889372	0,3500435	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9561233	0,0416028	0,8714222	0,0190640	0,2773819
520	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427329	0,7068143	0,0508540	0,0271144	0,3480164	0,0680522	0,1467016	0,1460813	0,5889400	0,3500422	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9561233	0,0416028	0,8714222	0,0190640	0,2773815
540	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427340	0,7068143	0,0508540	0,0271144	0,3480164	0,0680401	0,1467016	0,1459501	0,5889423	0,3500417	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9561233	0,0416028	0,8714223	0,0190640	0,2773812
560	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427348	0,7068142	0,0508540	0,0271144	0,3480164	0,0680317	0,1467015	0,1458532	0,5889443	0,3500415	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9561233	0,0416028	0,8714223	0,0190640	0,2773810
580	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427356	0,7068142	0,0508540	0,0271144	0,3480164	0,0753638	0,1467015	0,1634792	0,5889460	0,3916537	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9526963	0,0416028	0,8571906	0,0190640	0,2773808
600	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427362	0,7068142	0,0508540	0,0271144	0,3480164	0,0907779	0,1467014	0,2024725	0,5889474	0,4654367	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9467388	0,0416028	0,8334144	0,0190640	0,2773806
620	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427367	0,7068142	0,0508540	0,0271144	0,3480164	0,1081093	0,1467014	0,2487874	0,5889486	0,5343792	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9413158	0,0416028	0,8126744	0,0190640	0,2773805
640	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427372	0,7068142	0,0508540	0,0271144	0,3480164	0,1243938	0,1467014	0,2947900	0,5889496	0,5883201	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9372021	0,0416028	0,7975762	0,0190640	0,2773804
660	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427375	0,7068142	0,0508540	0,0271144	0,3480164	0,1384224	0,1467014	0,3366988	0,5889504	0,6271566	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9343434	0,0416028	0,7874891	0,0190640	0,2773804
680	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427379	0,7068142	0,0508540	0,0271144	0,3480164	0,1499029	0,1467014	0,3729778	0,5889511	0,6538261	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9324568	0,0416028	0,7810771	0,0190640	0,2773803
700	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427381	0,7068141	0,0508540	0,0271144	0,3480164	0,1589844	0,1467013	0,4033424	0,5889517	0,6716016	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9312537	0,0416028	0,7771302	0,0190640	0,2773803
720	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427383	0,7068141	0,0508540	0,0271144	0,3480164	0,1659971	0,1467013	0,4281572	0,5889522	0,6832136	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9305046	0,0416028	0,7747542	0,0190640	0,2773803
740	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427385	0,7068141	0,0508540	0,0271144	0,3480164	0,1713155	0,1467013	0,4480790	0,5889526	0,6906931	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9300466	0,0416028	0,7733467	0,0190640	0,2773802
760	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427387	0,7068141	0,0508540	0,0271144	0,3480164	0,1752932	0,1467013	0,4638545	0,5889530	0,6954621	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9297704	0,0416028	0,7725230	0,0190640	0,2773802
780	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427388	0,7068141	0,0508540	0,0271144	0,3480164	0,1782352	0,1467013	0,4762110	0,5889533	0,6984800	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9296058	0,0416028	0,7720454	0,0190640	0,2773802
800	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427389	0,7068141	0,0508540	0,0271144	0,3480164	0,1803915	0,1467013	0,4858040	0,5889535	0,7003792	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9295085	0,0416028	0,7717704	0,0190640	0,2773802
820	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427390	0,7068141	0,0508540	0,0271144	0,3480164	0,1819600	0,1467013	0,4931972	0,5889537	0,7015693	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9294514	0,0416028	0,7716131	0,0190640	0,2773802
840	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427391	0,7068141	0,0508540	0,0271144	0,3480164	0,1830938	0,1467013	0,4988601	0,5889539	0,7023126	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9294181	0,0416028	0,7715234	0,0190640	0,2773802
860	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6427392	0,7068141	0,0508540	0,0271144	0,3480164	0,1839088	0,1467013	0,5031750	0,5889541	0,7027757	0,6826985	0,0073216	0,9998407	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9293988	0,0416028	0,7714726	0,0190640	0,2773802
