"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA
0	0,5688219	0,6783846	0,0514745	0,0772508	0,7748274	1,0457210	0,4852681	0,0429120	1,0379478	0,2420843	0,8798812	0,6299280	0,3077243	0,3142809	0,5849098	0,6071207	0,5655945	0,8826969	0,4698425	0,9893594	0,9661592	0,4108802	0,9481092	0,4600966	0,0757053	0,3815099	0,9158978	0,6558839	0,2264773	0,3921258	0,8089617	0,1819946
20	0,5794281	0,7711266	0,0661437	0,1032719	0,7449841	1,0368345	0,5259879	0,0365166	0,9951452	0,2645373	0,8953565	0,6443107	0,2693966	0,4557840	0,6978920	0,4473213	0,5632547	0,7734642	0,4509057	0,9616848	1,0399081	0,4038299	0,9602088	0,5420922	0,0811870	0,5220269	0,9821290	0,6053526	0,1959298	0,3952243	0,7785063	0,2573768
40	0,4991134	0,7534389	0,0621245	0,1670786	0,7872924	1,0448041	0,5487131	0,0386662	0,9862189	0,2501638	0,8700268	0,6401216	0,2725386	0,4714484	0,6680188	0,4250393	0,5860375	0,7879519	0,4097893	1,0107794	1,0659380	0,3836613	0,9489806	0,5071924	0,0808149	0,5072349	0,9769492	0,6435669	0,2265561	0,4080152	0,8279524	0,2081921
60	0,5738326	0,6916577	0,0812725	0,2549992	0,7199687	1,0822798	0,5168600	0,0401795	1,0270013	0,2640258	0,8652839	0,6626994	0,2651875	0,5249998	0,6754107	0,4096882	0,5452816	0,7594355	0,3947064	0,9698166	1,0154030	0,4355831	0,9125173	0,5254530	0,0694098	0,4790737	0,9818279	0,6306908	0,2107302	0,4120077	0,8218017	0,2125988
80	0,5851506	0,6191682	0,0870540	0,2988378	0,6479283	1,0726716	0,5055725	0,0427506	1,0554738	0,2738141	0,8627405	0,6039526	0,3012447	0,4975706	0,6664226	0,4399711	0,5080161	0,7792346	0,4137982	0,9654911	1,0662317	0,4283848	0,8812746	0,5803070	0,1243097	0,5240193	0,9329114	0,6010161	0,2611609	0,4176070	0,8301520	0,2258265
100	0,6079096	0,6440260	0,0811852	0,3911419	0,6365061	1,0532543	0,4663647	0,0443879	1,0315345	0,2597725	0,7978293	0,6316681	0,2312467	0,5272477	0,6343897	0,4104128	0,4657256	0,7572761	0,4300125	0,9316610	1,0745844	0,4724048	0,8823365	0,5875759	0,1664786	0,4566519	0,9191898	0,5915625	0,2381907	0,3962780	0,8426588	0,2294645
120	0,5784642	0,7271237	0,0823484	0,3773268	0,6220678	1,1077099	0,4582462	0,0375835	0,9496269	0,2827351	0,8125398	0,5706759	0,2285648	0,5709725	0,6244957	0,4234295	0,4402174	0,7507607	0,3958495	0,9793651	1,0582489	0,4785712	0,8756061	0,5866081	0,2217382	0,4800306	0,8981828	0,6119307	0,2456107	0,3588934	0,8571499	0,2602819
140	0,5774925	0,7373333	0,1097686	0,3976986	0,6177829	1,0776334	0,4757711	0,0409631	0,9503493	0,2532485	0,8034661	0,5315056	0,2557361	0,6094491	0,6462572	0,4969563	0,5056530	0,7767066	0,3738191	0,9145228	0,9942558	0,4698845	0,9442755	0,6291456	0,2796348	0,4450104	0,8900932	0,6436208	0,2165922	0,4323157	0,9274453	0,2534546
160	0,5251946	0,7073637	0,0997691	0,4678061	0,7039164	0,9802462	0,4723312	0,0510091	0,9751340	0,2314269	0,8369764	0,5387162	0,2713586	0,6651736	0,6232523	0,4903970	0,5654806	0,8052549	0,3867959	0,9220787	0,9996606	0,4639333	0,9811949	0,5857836	0,2985881	0,4778784	0,9423373	0,6834044	0,2391370	0,4498076	0,8856770	0,2006592
180	0,5096302	0,7494846	0,1159748	0,5176352	0,6534396	0,9903659	0,4642412	0,0446233	0,8995445	0,2230749	0,8365492	0,5246072	0,2600733	0,6853317	0,6416359	0,5402702	0,4839697	0,7441992	0,4064653	0,9574470	0,9750161	0,4498477	0,9404384	0,6029181	0,3246296	0,4380687	0,9900254	0,6350723	0,2514041	0,4754516	0,9190083	0,1370771
200	0,5032965	0,7114682	0,1124771	0,5161733	0,6416322	1,0296729	0,5360022	0,0505539	0,8905292	0,1941482	0,8880279	0,6176133	0,2869140	0,6728915	0,6252922	0,5081335	0,5376540	0,7743467	0,3996172	0,9501187	1,0249238	0,4280682	0,9085557	0,5900128	0,4048738	0,4046729	0,9626724	0,6072076	0,2368112	0,5059404	0,9262276	0,1755265
220	0,5473044	0,7200710	0,1777055	0,5253233	0,7144853	0,9887158	0,4916220	0,0528110	0,9102705	0,2665731	0,8947555	0,6357477	0,2634384	0,5986217	0,6365315	0,5454901	0,5035713	0,8031197	0,3813220	0,9474708	1,0214237	0,4392595	0,8754457	0,5797122	0,5248680	0,3540241	0,9057053	0,6335071	0,2214733	0,4675446	0,9060157	0,2057930
240	0,5538258	0,7270950	0,2041272	0,5605475	0,7025300	1,0981645	0,4462729	0,0383941	0,9494437	0,2723178	0,8231838	0,6437029	0,2980792	0,5692088	0,6102157	0,4693515	0,5267047	0,8497829	0,4006804	0,9676832	0,9401348	0,4218059	0,8415841	0,6350063	0,6105855	0,4085253	0,9736427	0,6435078	0,2140326	0,4544342	0,8059485	0,1993442
260	0,5508831	0,7064449	0,1806853	0,5857225	0,6748156	1,0529517	0,4226161	0,0407004	0,9730800	0,2502973	0,8965057	0,6358804	0,3065999	0,5733400	0,6850760	0,4818117	0,5584727	0,8744594	0,3795088	1,0229874	0,9647154	0,4264350	0,8616246	0,6481873	0,6456918	0,3949452	0,9149193	0,6629606	0,2058338	0,4238199	0,7659193	0,2037135
