"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
500	0,5291236	0,4303531	0,5522535	0,0893367	0,6688166	0,3970575	0,5341406	0,2592601	0,3218605	0,6451003	0,7181720	0,4343680	0,6799442	0,7527759	0,4597658	0,5010759	0,0686137	0,5881646	0,6410298	0,6210140	0,1062740	0,2489146	0,1316735	0,5870432	0,5629329	0,1901156	0,1377428	0,6140333	0,7221089	0,3078766	0,4631360	0,3079541
520	0,4925913	0,5371215	0,4335625	0,0639613	0,5525233	0,6296642	0,5639354	0,3780644	0,2512323	0,5923012	0,8969316	0,3386672	0,8237776	0,6836620	0,5074820	0,6654459	0,0667520	0,6269217	0,4105696	0,6549689	0,0973514	0,2074751	0,1771682	0,5157872	0,5134721	0,1968553	0,1352432	0,4561321	0,7392994	0,3013321	0,4730499	0,3393904
540	0,6149107	0,5270682	0,5197173	0,1000888	0,7415040	0,3583988	0,6401282	0,2349563	0,2807278	0,6846329	0,7639052	0,5029969	0,5848969	0,6319080	0,5404874	0,6196851	0,0308862	0,6398901	0,5205221	0,5896137	0,1188539	0,2099568	0,1323259	0,5508758	0,4720913	0,2813607	0,1751296	0,4599891	0,7083830	0,4112396	0,4617065	0,3433338
560	0,5443042	0,5216766	0,4700986	0,0940520	0,6778312	0,4368772	0,4392099	0,3449288	0,2735458	0,7331374	0,7575807	0,5708371	0,5180446	0,8428037	0,5789337	0,5930175	0,0399290	0,5781780	0,4532706	0,5809421	0,0834194	0,2579987	0,1621648	0,5154011	0,5914575	0,2230557	0,1466170	0,5275339	0,5741024	0,3837727	0,5481977	0,3622097
580	0,5288041	0,5841257	0,5127385	0,0899497	0,6911779	0,4960140	0,4523197	0,3095631	0,3171825	0,5247359	0,7086156	0,4364624	0,6775602	0,7309473	0,6892063	0,5912485	0,0272032	0,5794678	0,5144819	0,6337996	0,1113527	0,2772377	0,1270445	0,4903066	0,6478445	0,1917598	0,1863564	0,6345758	0,5864854	0,3962542	0,4496024	0,3378584
600	0,4688338	0,6961615	0,5896751	0,0728546	0,7242949	0,5039588	0,4293941	0,2760757	0,4199458	0,6259094	0,6995856	0,3845502	0,6191178	0,7129321	0,6857123	0,5096562	0,0484020	0,6446968	0,4665908	0,7218203	0,1014041	0,2129221	0,1420137	0,6489483	0,5443059	0,2313379	0,3157106	0,5586974	0,7109429	0,3731429	0,3576613	0,3338604
620	0,4254203	0,6343831	0,4093286	0,0893707	0,6308621	0,4363809	0,4133903	0,2975683	0,2958638	0,6237962	0,6824068	0,5040497	0,7332951	0,7407109	0,5351700	0,6328715	0,0255766	0,6890145	0,4998142	0,6067862	0,0643408	0,2216946	0,1645173	0,5120475	0,5669949	0,1620827	0,3610771	0,4515665	0,8288584	0,3455547	0,3508142	0,3778205
640	0,4436390	0,6947401	0,4387166	0,0820130	0,8067425	0,4597899	0,4647891	0,1896524	0,3521777	0,5612312	0,8305614	0,4593276	0,6937921	0,6077971	0,7053886	0,6004546	0,0645975	0,6430821	0,6108383	0,6887772	0,1067248	0,2588282	0,0725518	0,7059481	0,5727862	0,1451532	0,4595019	0,5200589	0,7388885	0,3665059	0,4589368	0,3222811
660	0,4649928	0,6479951	0,4004141	0,0761571	0,6603971	0,4546527	0,3389156	0,3035525	0,3078644	0,5942776	0,6560747	0,5337590	0,7111443	0,8278553	0,6982579	0,5142074	0,0302284	0,7626470	0,5863734	0,6719786	0,0758954	0,2370974	0,0773817	0,5544110	0,5853591	0,1985392	0,5117293	0,5324752	0,6167374	0,2493941	0,3987880	0,4553589
680	0,4354409	0,6172693	0,4750054	0,1047606	0,7895779	0,5557254	0,6247725	0,3161630	0,2868935	0,6854113	0,7544315	0,4117011	0,6580683	0,8228370	0,6053083	0,5888459	0,0977810	0,7398708	0,6187316	0,6202582	0,0950255	0,2116408	0,0871942	0,6980323	0,5765061	0,1703585	0,4382926	0,5693579	0,6852475	0,3975587	0,3718632	0,5912881
