"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
480	0,7576937	0,6771715	0,5591505	0,6674068	0,0626782	0,3101403	0,0085447	0,0284391	0,3930943	0,5393207	0,0872862	0,0339188	0,2303759	0,0304756	0,1458263	0,0886093	0,5277887	0,3000855	0,4364729	0,0143269	0,6939163	0,3160439	0,0755161	0,5966721	0,0448608	0,1149276	0,0284209	0,7057045	0,0392715	0,7268617	0,0259950	0,2202348
500	0,7684850	0,8407699	0,5785957	0,7449929	0,1022539	0,3330287	0,0079588	0,0291436	0,4789551	0,5793044	0,0271554	0,0177219	0,2053679	0,0693023	0,1193279	0,1064226	0,5001845	0,3038300	0,5396149	0,0029359	0,7262686	0,2811030	0,0819045	0,5378323	0,0464825	0,1646227	0,0241914	0,6273944	0,0356799	0,7158113	0,0257396	0,1716415
520	0,7273005	0,8387278	0,6228383	0,6672023	0,0480108	0,3407986	0,0104899	0,0212674	0,4805515	0,4577743	0,0327164	0,0061156	0,2778160	0,0321917	0,1738073	0,0715069	0,4581831	0,2153356	0,4696935	0,0026874	0,7934110	0,2403478	0,0507620	0,5767942	0,0302563	0,1242795	0,0357896	0,6928354	0,0588272	0,6991260	0,0202913	0,2354585
540	0,7679145	0,7376147	0,7902496	0,7248295	0,1181508	0,2510843	0,0128302	0,0361451	0,5877923	0,5459170	0,0430974	0,0678915	0,3099467	0,0442332	0,2042655	0,1558176	0,5901890	0,1930111	0,4934096	0,0029715	0,8183890	0,2596216	0,0504221	0,6337249	0,0142667	0,1085999	0,0358461	0,8208678	0,0274878	0,6772459	0,0305125	0,2536477
560	0,8540366	0,5811840	0,6320412	0,6728909	0,0801215	0,3359500	0,0114811	0,0238404	0,4530333	0,4242184	0,0250518	0,0473690	0,2774483	0,0543844	0,0839997	0,1260223	0,5024310	0,2890307	0,4592720	0,0019709	0,6910673	0,2591098	0,0635709	0,4985724	0,0248128	0,1438289	0,0406840	0,7429983	0,0314309	0,7112779	0,0142942	0,1879340
580	0,5731619	0,6302063	0,6307802	0,6596536	0,0488804	0,4024272	0,0184273	0,0466164	0,5494116	0,4813416	0,0248591	0,0189480	0,2024955	0,0501892	0,1225926	0,1218527	0,5177973	0,3511824	0,5274762	0,0181526	0,6753248	0,3256982	0,0497663	0,5686984	0,0323674	0,0711972	0,0311719	0,7357150	0,0234988	0,8357085	0,0127171	0,2582284
600	0,6339880	0,6002431	0,5698888	0,8718522	0,0644255	0,3505129	0,0105659	0,0239413	0,6588952	0,4852372	0,0146585	0,0230529	0,2666958	0,0736099	0,1328913	0,1167505	0,6149765	0,3771910	0,4710951	0,0100999	0,7533340	0,3618539	0,0532382	0,6022644	0,0325685	0,1068890	0,0221039	0,5906936	0,0237029	0,6493032	0,0250539	0,2259801
620	0,6883370	0,6169537	0,5899030	0,7076126	0,0559355	0,3005487	0,0050421	0,0246173	0,6480608	0,4067969	0,0379671	0,0255594	0,2993388	0,0940480	0,1123459	0,1320126	0,5200220	0,4446438	0,5003555	0,0068511	0,6111427	0,2865652	0,0572697	0,5993578	0,0553507	0,0972467	0,0466243	0,6888656	0,0075865	0,6619355	0,0157688	0,1914436
640	0,7303331	0,6335269	0,5109130	0,6962350	0,0553034	0,2952563	0,0278284	0,0088703	0,5436195	0,5793577	0,0275987	0,0268113	0,2860705	0,1406412	0,0764916	0,2149769	0,5143650	0,4640446	0,4886285	0,0241135	0,7048769	0,3017798	0,0460647	0,6229013	0,0413971	0,1140043	0,0227653	0,7023340	0,0095144	0,6113373	0,0140237	0,1801324
660	0,7771318	0,7519288	0,5308264	0,7535385	0,0684832	0,3239954	0,0069605	0,0243185	0,5672905	0,4812431	0,0208607	0,0286407	0,2515771	0,1545364	0,0839227	0,2546950	0,5459489	0,4701891	0,4272938	0,0076700	0,7174663	0,3138125	0,0731157	0,5688459	0,0374820	0,1143235	0,0622178	0,6560612	0,0416996	0,6421806	0,0213762	0,1909377
680	0,7610078	0,7181757	0,6243221	0,6723944	0,0679440	0,3151172	0,0177120	0,0140226	0,4744499	0,4964152	0,0351005	0,0265125	0,2667766	0,1416783	0,0822875	0,3046386	0,5224707	0,6615840	0,5561764	0,0079638	0,6344275	0,3839293	0,0571853	0,5527660	0,0263539	0,0971026	0,0320445	0,6703799	0,0184933	0,4948186	0,0315667	0,2088410
700	0,7008533	0,7647686	0,5757079	0,7328112	0,0628769	0,3765540	0,0120982	0,0282522	0,4308722	0,5566837	0,0477541	0,0092042	0,3256721	0,1284402	0,1228330	0,2801594	0,6064749	0,4968296	0,4530641	0,0085572	0,8095760	0,3461224	0,0567149	0,4636045	0,0375403	0,0674948	0,0186833	0,6072373	0,0180028	0,5431984	0,0209425	0,2670724
720	0,7232820	0,7697537	0,4688603	0,6840243	0,0898679	0,3093680	0,0162212	0,0295068	0,4669334	0,5174052	0,0523907	0,0271817	0,2740616	0,1258057	0,0616485	0,4296131	0,5539043	0,5512033	0,4851817	0,0066671	0,7660907	0,3481737	0,0545689	0,5494757	0,0458730	0,0599869	0,0249173	0,6736069	0,0214519	0,4493140	0,0226001	0,2091406
740	0,7984751	0,7094993	0,7080524	0,8684341	0,1279273	0,2945983	0,0213304	0,0274514	0,4736110	0,5548494	0,0370973	0,0387354	0,3175425	0,2227133	0,0862687	0,3371784	0,5074964	0,5735193	0,4169752	0,0013126	0,8664493	0,2889470	0,0720257	0,5446254	0,0470824	0,0707800	0,0174677	0,7332089	0,0199554	0,5616814	0,0223503	0,1642597
760	0,7453750	0,6739196	0,5481741	0,8335420	0,0303946	0,3997025	0,0116541	0,0163038	0,5422749	0,5057387	0,0473670	0,0071352	0,2598842	0,1527792	0,0835519	0,4008729	0,4055871	0,5647672	0,4861007	0,0058978	0,5993231	0,3256658	0,0420275	0,5346151	0,0680772	0,1402546	0,0221554	0,8563972	0,0275727	0,5760738	0,0090771	0,1631801
