"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
460	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919233	0,3999836	0,3183038	0,7084634	0,1509893	0,6346153	0,5787500	0,5860001	0,3129366	0,3085485	0,9984691	0,0515829	0,9747399	0,0270946	0,0503956	0,8652324	0,9267919	0,0567970	0,9993781	0,8213272	0,9948696	0,7423118	0,9879834	0,3796094
480	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919206	0,3999788	0,3183038	0,7084634	0,1509895	0,6346462	0,5787500	0,5859973	0,3129366	0,3085485	0,9984695	0,0515829	0,9747399	0,0270946	0,0503956	0,8652400	0,9267930	0,0567970	0,9993781	0,8213272	0,9948696	0,7423119	0,9879834	0,3796094
500	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919192	0,3999760	0,3183038	0,7084634	0,1509901	0,6346683	0,5787500	0,5859965	0,3129366	0,3085485	0,9984698	0,0515829	0,9747399	0,0270946	0,0503956	0,8652448	0,9267937	0,0567970	0,9993781	0,8213272	0,9948696	0,7423119	0,9879834	0,3796094
520	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919186	0,3999746	0,3183038	0,7084634	0,1509907	0,6346842	0,5787500	0,5859967	0,3129366	0,3085485	0,9984700	0,0515829	0,9747399	0,0270946	0,0503956	0,8652479	0,9267941	0,0567970	0,9993781	0,8213272	0,9948696	0,7423120	0,9879834	0,3796094
540	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919184	0,3999739	0,3183038	0,7084634	0,1509912	0,6346957	0,5787500	0,5859973	0,3129366	0,3085485	0,9984701	0,0515829	0,9747399	0,0270946	0,0503956	0,8652499	0,9267944	0,0567970	0,9993781	0,8213272	0,9948696	0,7423120	0,9879834	0,3796094
560	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,2919185	0,3999738	0,3183038	0,7084634	0,1509915	0,6347040	0,5787500	0,5859980	0,3129366	0,3085485	0,9984702	0,0515829	0,9747399	0,0270946	0,0503956	0,8652512	0,9267946	0,0567970	0,9993781	0,8213272	0,9948696	0,7423120	0,9879834	0,3796094
580	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,3583209	0,4690504	0,3183038	0,7084634	0,1481020	0,6337183	0,5787500	0,5848825	0,3129366	0,3085485	0,9926691	0,0515829	0,9747399	0,0270946	0,0503956	0,6783552	0,8957956	0,0567970	0,9986766	0,8028264	0,9942983	0,3861243	0,9879834	0,3796094
600	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,3949103	0,5118902	0,3183038	0,7084634	0,1394385	0,6291908	0,5787500	0,5796652	0,3129366	0,3085485	0,9888298	0,0515829	0,9747399	0,0270946	0,0503956	0,5579852	0,8759460	0,0567970	0,9983239	0,7926454	0,9941328	0,2012743	0,9879834	0,3796094
620	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4141670	0,5336828	0,3183038	0,7084634	0,1301976	0,6217381	0,5787500	0,5708785	0,3129366	0,3085485	0,9862889	0,0515829	0,9747399	0,0270946	0,0503956	0,4804611	0,8632357	0,0567970	0,9981466	0,7870429	0,9940849	0,1053430	0,9879834	0,3796094
640	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4241092	0,5405903	0,3183038	0,7084634	0,1229050	0,6130521	0,5787500	0,5607524	0,3129366	0,3085485	0,9846072	0,0515829	0,9747399	0,0270946	0,0503956	0,4305319	0,8550969	0,0567970	0,9980574	0,7839599	0,9940711	0,0555577	0,9879834	0,3796094
660	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4291613	0,5388268	0,3183038	0,7084634	0,1177454	0,6044385	0,5787500	0,5513404	0,3129366	0,3085485	0,9834943	0,0515829	0,9747399	0,0270946	0,0503956	0,3983750	0,8498853	0,0567970	0,9980126	0,7822633	0,9940670	0,0297207	0,9879834	0,3796094
680	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4316644	0,5334071	0,3183038	0,7084634	0,1142386	0,5966294	0,5787500	0,5438411	0,3129366	0,3085485	0,9827577	0,0515829	0,9747399	0,0270946	0,0503956	0,3776645	0,8465483	0,0567970	0,9979900	0,7813297	0,9940659	0,0163121	0,9879834	0,3796094
700	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4328503	0,5275512	0,3183038	0,7084634	0,1118887	0,5899330	0,5787500	0,5386032	0,3129366	0,3085485	0,9822702	0,0515829	0,9747399	0,0270946	0,0503956	0,3643259	0,8444114	0,0567970	0,9979787	0,7808159	0,9940655	0,0093535	0,9879834	0,3796094
720	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4333671	0,5228462	0,3183038	0,7084634	0,1103222	0,5844023	0,5787500	0,5354055	0,3129366	0,3085485	0,9819476	0,0515829	0,9747399	0,0270946	0,0503956	0,3557352	0,8430431	0,0567970	0,9979730	0,7805332	0,9940654	0,0057422	0,9879834	0,3796094
740	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4335546	0,5197468	0,3183038	0,7084634	0,1092809	0,5799558	0,5787500	0,5337602	0,3129366	0,3085485	0,9817341	0,0515829	0,9747399	0,0270946	0,0503956	0,3502024	0,8421670	0,0567970	0,9979702	0,7803776	0,9940654	0,0038681	0,9879834	0,3796094
760	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4335888	0,5180857	0,3183038	0,7084634	0,1085909	0,5764530	0,5787500	0,5331362	0,3129366	0,3085485	0,9815928	0,0515829	0,9747399	0,0270946	0,0503956	0,3466390	0,8416059	0,0567970	0,9979687	0,7802920	0,9940654	0,0028954	0,9879834	0,3796094
780	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4335589	0,5174543	0,3183038	0,7084634	0,1081354	0,5737374	0,5787500	0,5330845	0,3129366	0,3085485	0,9814993	0,0515829	0,9747399	0,0270946	0,0503956	0,3443440	0,8412467	0,0567970	0,9979680	0,7802449	0,9940654	0,0023907	0,9879834	0,3796094
800	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4335084	0,5174307	0,3183038	0,7084634	0,1078361	0,5716592	0,5787500	0,5332852	0,3129366	0,3085485	0,9814374	0,0515829	0,9747399	0,0270946	0,0503956	0,3428659	0,8410167	0,0567970	0,9979676	0,7802189	0,9940654	0,0021287	0,9879834	0,3796094
820	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4334571	0,5176855	0,3183038	0,7084634	0,1076405	0,5700857	0,5787500	0,5335437	0,3129366	0,3085485	0,9813964	0,0515829	0,9747399	0,0270946	0,0503956	0,3419140	0,8408694	0,0567970	0,9979674	0,7802047	0,9940654	0,0019928	0,9879834	0,3796094
840	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4334129	0,5180065	0,3183038	0,7084634	0,1075135	0,5689050	0,5787500	0,5337635	0,3129366	0,3085485	0,9813693	0,0515829	0,9747399	0,0270946	0,0503956	0,3413009	0,8407750	0,0567970	0,9979674	0,7801968	0,9940654	0,0019222	0,9879834	0,3796094
860	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4333776	0,5182832	0,3183038	0,7084634	0,1074314	0,5680258	0,5787500	0,5339123	0,3129366	0,3085485	0,9813513	0,0515829	0,9747399	0,0270946	0,0503956	0,3409060	0,8407146	0,0567970	0,9979673	0,7801925	0,9940654	0,0018856	0,9879834	0,3796094
